aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,lim_sup,ng,_RA,_DE,Separation,Kq,Kn,Mdyn
spec-0266-51630-0180,0.0630479,10.665,10.080592174719374,-0.0333416191956424,0.0353197672549545,131.2717753977338,145.99393743,-0.13585345,1.214,3.19,0.45,2.243488493534165,3.22,145.99394,-0.13585,0.0154872664951847,0.8823790877462955,6.444058439999999,10.861388733166745
spec-0266-51630-0217,0.07156569,10.42,9.82098755548097,0.1477129204716145,0.0668737095039736,120.73300872512311,145.70891647,-0.74766684,1.365,3.39,0.85,0.5546368884064007,5.18,145.70892,-0.74767,0.0170551793561316,0.7837376323917519,5.21208084,10.671474244133965
spec-0266-51630-0633,0.08016862,10.906,10.160687824421004,0.1027062459687411,,157.58815590914114,147.30828919,0.15117234,1.514,6.23,0.17,2.284796837037816,5.71,147.30829,0.15117,0.0089144137702871,1.1445808046337596,4.910748809999999,11.305770026963602
spec-0267-51608-0025,0.08976489,10.808,10.15275799831842,0.3413445459812114,0.0594485648913645,173.5944882897509,149.11297727,-0.34883753,1.675,10.73,0.67,3.235031300126457,6.49,149.11298,-0.34884,0.013253439847441,0.8103453250771835,4.491904409999999,11.437212877723532
spec-0267-51608-0026,0.08834462,10.836,10.090036721511874,0.2888506130428683,0.271725486652109,147.73919007190813,149.18632377,-0.31179578,1.651,8.47,0.06,2.876534389046045,7.97,149.18632,-0.3118,0.0203713179288702,1.3756720529905118,3.7777836899999997,11.34906749494371
spec-0267-51608-0252,0.09164593,11.028,10.16132038592587,0.2462046631906865,0.0063575047263471,194.6510704041472,147.49367023,-0.8831328,1.707,12.21,0.21,2.8405621235285166,7.49,147.49367,-0.88313,0.0101139419128909,1.0853616458827038,3.9978224099999995,11.669067880295756
spec-0267-51608-0409,0.06144949,11.033,10.15345593179988,0.2720812835881168,0.175877698808229,174.8049506828824,147.70915583,1.14821561,1.187,5.57,0.37,2.4052813638967385,3.09,147.70916,1.14822,0.0217953221689349,0.928983936520446,6.53231921,11.380478910078754
spec-0268-51633-0306,0.08461425,10.486,10.154424239829249,-0.1694214390424848,-0.530948657848112,124.76945688715658,148.8420565,-0.07235162,1.59,4.25,0.47,2.447734102684108,3.43,148.84206,-0.07235,0.0138842346187694,0.8729178863405056,6.3032040899999995,10.927580916085077
spec-0269-51910-0003,0.04389971,10.624,9.971581184551058,0.3101277374518446,0.179484199257035,134.9342718528386,151.51741745,-0.81423996,0.865,4.28,0.15,2.3435409691571563,5.61,151.51742,-0.81424,0.0091802023822121,1.1784086715660769,4.966567609999999,11.025481245315465
spec-0269-51910-0224,0.06687512,11.011,10.144880954120962,0.1779171307221896,0.0642892355244658,145.30315861298632,150.89337083,0.07600803,1.282,5.9,0.73,2.355233734620302,2.85,150.89337,0.07601,0.0076957515987454,0.7993527728767938,6.69740225,11.190487646525511
spec-0269-51910-0468,0.06195069,10.289,10.145782203258216,-0.2046381654822662,0.32153660239058,91.74838832010144,151.24895273,0.60810094,1.195,3.63,0.7,2.150016558189631,4.28,151.24895,0.6081,0.0103937558375106,0.8045283901955289,5.754793439999999,10.517115282169213
spec-0269-51910-0499,0.02125578,10.631,10.137783228280522,0.2322337363792458,0.0882684451222663,161.06145755678605,151.46111047,0.63180392,0.43,3.61,0.28,2.9461836104202566,3.33,151.46111,0.6318,0.0142130594755891,1.0037315179050041,6.37001249,11.143688952412202
spec-0269-51910-0553,0.09711574,10.891,10.168303255025924,0.2677223921519263,0.353515788424041,180.7478322986146,151.6938519,0.2901255,1.797,4.83,0.47,2.3975223273119872,5.06,151.69385,0.29013,0.017584777497414,0.8729178863405056,5.28218676,11.228321125590693
spec-0270-51909-0010,0.04153075,10.121,9.936612802849291,0.0840942541233274,0.24258021109551,93.96743482880696,153.62339892,-0.80719329,0.821,2.54,0.32,1.6529458565901018,4.86,153.6234,-0.80719,0.0124657081455222,0.9669974820474221,5.400572359999999,10.435094247166539
spec-0270-51909-0027,0.04497541,10.134,10.120169521264769,0.1900675544924669,0.168607444278215,96.0118454577242,153.66557364,-0.7248689,0.885,2.25,0.49,1.618443980955012,3.59,153.66557,-0.72487,0.0136882772338898,0.8641911456966372,6.197313209999999,10.412086066127591
spec-0270-51909-0369,0.09550718,10.462,10.06836770748413,-0.1483137592969605,-0.405020838829224,148.62856870717886,152.15598978,0.99027929,1.77,3.68,0.32,1.9420197568256239,6.0,152.15599,0.99028,0.0026758573499131,0.9669974820474221,4.7516,10.938758281765928
spec-0270-51909-0550,0.09497028,10.788,10.131459079924536,0.2141112233180528,0.297474641207436,153.06681007702062,153.55540572,0.27978776,1.762,4.82,0.2,1.5213495760322222,6.2,153.55541,0.27979,0.0173904829789711,1.0991960685470887,4.644203999999999,11.12723621103569
spec-0271-51883-0182,0.06464192,10.306,10.152747630612373,-0.022992118826491,-0.0872598379229947,93.2358560248143,154.40644543,-0.20171046,1.243,4.3,0.29,1.5329428244813388,6.94,154.40645,-0.20171,0.0165350321314733,0.993954349345031,4.2636027599999995,10.566218208894613
spec-0272-51941-0204,0.08627163,10.612,10.16337414225602,0.0928391188446797,-0.008745960649759,127.4383973217804,155.76186715,-0.98486185,1.616,4.9,0.18,1.227748977717844,7.4,155.76187,-0.98486,0.0122307849099584,1.128773370680186,4.040315999999999,10.926259425919282
spec-0272-51941-0346,0.09711239,11.194,10.127651133865756,0.2945498069561269,0.113587112863394,207.3065337112537,154.76247114,0.46303632,1.797,5.55,0.16,2.001617775723161,3.87,154.76247,0.46304,0.0138690742092473,1.1611135454678942,6.014973289999999,11.588068012974174
spec-0273-51957-0227,0.0935001,10.777,10.165884017494534,0.1043158368813977,0.0098461757339799,148.03593953410368,157.74175413,-0.09259888,1.737,4.64,0.1,2.262211585726214,5.58,157.74175,-0.0926,0.0154049949808724,1.2777761041980535,4.98340724,11.177674105265027
spec-0274-51913-0087,0.08697817,10.884,9.874518431678275,0.3396122155159758,0.150174780199201,171.5479257327679,160.25754752,-0.95242028,1.629,4.08,0.7,1.3753190170196654,3.29,160.25755,-0.95242,0.0089834973873566,0.8045283901955289,6.3968708099999985,11.157380714468182
spec-0274-51913-0121,0.08724763,10.795,9.960508178697044,0.0540834844240907,0.0908888703916381,139.31970680902026,159.91584441,-0.90377657,1.634,5.27,0.21,2.1827236606340743,4.61,159.91584,-0.90378,0.0201111355212812,1.0853616458827038,5.551265609999999,11.156242851954268
spec-0274-51913-0258,0.09636554,10.591,10.139294881766205,0.2811891363710593,0.324197242248357,142.2260510470821,159.44698797,-0.65668344,1.785,5.07,0.24,1.8096659807915594,7.9,159.44699,-0.65668,0.0143792664740526,1.047323184938283,3.8091809999999997,10.978319245359907
spec-0274-51913-0424,0.09667411,10.885,10.025315373509278,0.0260384101582891,0.0837774105006888,151.0348506414981,159.9481063,0.4851359,1.79,4.44,0.13,2.0142246363032505,4.46,159.94811,0.48514,0.0198813299303951,1.2154452617527902,5.643127559999999,11.208233238391378
spec-0274-51913-0478,0.06765038,10.454,9.94442226984266,-0.0608141747514422,0.0637855567371322,124.06224863876476,160.06555203,0.84854284,1.296,3.13,0.31,1.1691978625900872,5.07,160.06555,0.84854,0.0125668343921997,0.9756052935221179,5.276318089999999,10.760869407458337
