aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,lim_sup,ng,_RA,_DE,Separation,Kq,Kn,Mdyn
spec-0267-51608-0319,0.09311803,10.554,9.688992865057394,0.1045349858911474,-0.111114462796412,119.02922640085552,147.38902908,0.09017073,1.731,2.91,0.62,0.0,4.28,147.38903,0.09017,0.0042279664998848,0.8216932330693044,5.754793439999999,10.656380316415301
spec-0268-51633-0497,0.09200749,10.639,10.016034934821796,0.3448386164134603,-0.124951831251921,133.75457325479516,149.55991315,0.14035072,1.713,2.86,0.32,0.0,4.27,149.55991,0.14035,0.0116324241240519,0.9669974820474221,5.76104289,10.821350420092948
spec-0269-51910-0600,0.09845418,10.547,10.157426818048483,0.1337177953639423,-0.148698137579216,126.72788479187967,151.83972423,0.63554357,1.819,2.54,0.71,0.0,2.15,151.83972,0.63554,0.0199257962680878,0.8027356868192035,7.19475225,10.738607158292377
spec-0274-51913-0550,0.09451214,10.856,9.969564291261117,0.0344399432066111,0.0647203701442763,137.5529474417227,160.67573614,0.68013483,1.755,2.94,0.0,0.0,4.79,160.67574,0.68013,0.0222579009142155,1.5625,5.442462809999999,11.041343283076902
spec-0275-51910-0103,0.06747919,10.859,9.85840460462342,0.2735024541014101,0.0820630983798745,145.7546067701769,162.21441949,-0.47905972,1.293,4.96,0.31,0.0,8.0,162.21442,-0.47906,0.0020944507156512,0.9756052935221179,3.7643999999999993,10.954136824619427
spec-0280-51612-0450,0.07446334,10.409,10.044016299263191,0.0625821953312785,0.186361245653671,111.779821188676,170.71863309,0.98338293,1.414,2.64,0.71,0.0,3.27,170.71863,0.98338,0.0153286409321215,0.8027356868192035,6.41032889,10.596224285792509
spec-0282-51658-0351,0.06886072,10.713,10.146669965377384,0.1389461476016088,0.327608816470588,143.87901423106115,172.36090637,-0.00880949,1.317,3.85,0.14,0.0,7.01,172.36091,-0.00881,0.0131963447351309,1.1965054072410661,4.228966409999999,10.972045193125345
spec-0286-51999-0402,0.0778308,10.673,9.86737297002655,0.2906694343471202,0.119046618785789,123.25931065205911,181.13178983,1.12971131,1.473,3.12,0.47,0.0,3.15,181.13179,1.12971,0.0047555288305549,0.8729178863405056,6.49148225,10.79555198450377
spec-0287-52023-0386,0.09549232,10.71,9.992488669492626,-0.0494422713404639,0.104882759136755,120.00312071903708,182.18676276,0.20598805,1.822,3.24,0.32,0.0,6.56,182.18678,0.20596,0.1185278478797097,0.9669974820474221,4.45574976,10.669716881219003
spec-0288-52000-0282,0.07156478,10.402,10.151631783699,0.2139835975543837,-0.0260759334845165,107.03401427887678,184.21539209,-1.03669489,1.364,3.24,0.37,0.0,5.61,184.21539,-1.03669,0.0191440032377489,0.928983936520446,4.966567609999999,10.600093849314126
spec-0296-51984-0572,0.07864487,10.48,10.079479692977966,-0.0424827164596654,-0.247129529588549,106.00017834601232,200.61209014,1.14358949,1.486,3.5,0.17,0.0,6.02,200.61209,1.14359,0.0019038935723985,1.1445808046337596,4.74077364,10.695617568952798
spec-0297-51959-0126,0.07287462,10.672,10.075736923708975,-0.2067329870585148,0.287165105455558,126.34425929293069,201.53877199,-0.88005729,1.388,2.67,0.41,0.0,3.26,201.53877,-0.88006,0.0121033187124282,0.9037741381612935,6.41706516,10.759459302650379
spec-0297-51959-0157,0.09796132,10.518,10.113691719123148,0.0871705880423725,0.321976563868609,108.0476024020912,202.04553449,0.12386008,1.81,3.5,0.64,0.0,2.25,202.04553,0.12386,0.0161665276806841,0.8168856351754018,7.1222562499999995,10.742517822042345
spec-0299-51671-0368,0.07718384,10.39,10.061916374453624,-0.0311729632750577,-0.268726573559482,102.67598130564386,204.81639862,1.15874204,1.461,2.79,0.53,0.0,2.08,204.8164,1.15874,0.0088659610891084,0.8487068161348575,7.245786239999999,10.623825790560145
spec-0309-51994-0133,0.0840548,10.412,10.115810494702036,0.0015842244119943,-0.60768781269261,117.6558365260148,223.79210047,-0.77619072,1.58,2.97,0.81,0.0,6.51,223.7921,-0.77619,0.003095287174505,0.7881627066638371,4.48155041,10.528468223859058
spec-0312-51689-0513,0.05804222,10.954,9.977428464666495,-0.0775061232820379,0.0230814472859797,137.77854500202852,229.33629578,0.23721915,1.125,5.48,0.46,0.0,5.23,229.3363,0.23722,0.0154969838308881,0.8775527169786937,5.1830748899999985,11.041445100953204
spec-0329-52056-0053,0.0768394,10.534,9.99491347491893,-0.0380118107561154,-0.314740694548628,118.51364527035504,177.3068674,-3.63777462,1.455,2.94,0.6,0.0,5.38,177.30687,-3.63777,0.0190756476917902,0.8268941874213698,5.09678004,10.6070705288185
spec-0329-52056-0318,0.05475302,10.675,9.981694008799805,0.2260768714476555,-0.0378266813460137,140.27193296187357,175.42596484,-2.85885764,1.064,2.9,0.56,0.0,5.34,175.42596,-2.85886,0.019365499450228,0.8386131011557931,5.11968596,10.755585181439873
spec-0338-51694-0449,0.08139554,10.684,10.029811705369744,-0.0265748916591191,-0.266314380480861,120.93114637149723,194.53755373,-1.61195481,1.535,3.4,0.33,0.0,4.79,194.53755,-1.61195,0.0219091843586782,0.9587450189793348,5.442462809999999,10.780494502442421
spec-0338-51694-0563,0.08372389,10.584,10.062531353392384,-0.02944531920168,-0.215530152216779,123.77853248563218,194.86348284,-1.43067318,1.574,2.87,0.33,0.0,5.96,194.86348,-1.43067,0.0153467168154975,0.9587450189793348,4.77331056,10.670136022531054
spec-0375-52140-0040,0.05903046,10.212,10.012803480514672,0.1974309061675153,-0.360498965152039,92.29649677879172,336.87926665,-0.6698092,1.142,2.61,0.45,0.0,6.0,336.87927,-0.66981,0.0123983114348007,0.8823790877462955,4.7516,10.335946677294144
spec-0378-52146-0504,0.09083009,10.287,9.975233064532262,-0.0048887897090109,-0.0144940211192461,103.3163573865414,341.57950541,0.70404374,1.693,2.23,0.49,0.0,7.93,341.5795,0.70404,0.023675654366309,0.8641911456966372,3.79569609,10.258984934739264
spec-0384-51821-0537,0.08488655,10.43,9.946955472992247,-0.0475153864324995,0.015301234441481,104.5618714494328,353.78871753,0.94060485,1.593,3.58,0.54,0.0,4.98,353.78872,0.9406,0.0195933141463071,0.8452074611443647,5.32930964,10.612704653262046
spec-0401-51788-0160,0.08868066,10.827,9.945490292266191,0.0342180654912658,0.359571004219963,129.0170624157677,25.89317123,-0.03680178,1.658,3.33,0.26,0.0,4.09,25.89317,-0.0368,0.0077890718253239,1.024588205031141,5.874357209999999,10.889688890799832
