Nome,Slope,Idade Média(L),Idade Média Log(L),Metalicidade Média(L),Metalicidade Média Log(L)Idade Média(M),Idade Média Log(M),Metalicidade Média(M),Metalicidade Média Log(M),Mcor,Mini
266-51630-177,1.3,7.3662291616229165,4.924738643057876,0.12518060097826694,,9.280716407134038,0.20949834255086283,0.13088354045797485,10.684082547583072,10.893739459462127
267-51608-125,1.3,7.18372965,4.586327152113937,0.11316880721979153,,9.22008408209287,0.19899844822558843,0.11444398526848974,10.675307141727851,10.885076831366767
268-51633-98,1.3,7.603654889634511,5.346620724917267,0.13360358834874517,,9.342615935591908,0.21584794817663122,0.14066308217415083,10.956833172284819,11.166509028182322
268-51633-369,1.3,7.217101075,4.643244307712395,0.11729879895627074,,9.244363162932846,0.20281221794013182,0.12068419318854409,10.517233252004528,10.726946114488184
268-51633-509,1.3,7.530779581155917,5.190046267943698,0.1347312400534116,,9.358413049992135,0.21790475788236335,0.14427649771340573,10.984804192957645,11.194414924203427
268-51633-625,1.3,7.358374096674819,4.85790989339388,0.12994248245580406,,9.344879856421654,0.2148994088960593,0.1401176152578053,10.563577876030811,10.77317097779608
269-51910-214,1.3,7.326106994557202,4.813258203234957,0.1284245364011265,,9.323329763433513,0.2134636869602515,0.13780315411912483,10.87818269272253,11.087768019956016
269-51910-271,1.3,7.246023101193068,4.686600532842256,0.11951857820004178,,9.264660166649959,0.20484324714822263,0.12403524689108408,10.642567571215547,10.852266392253231
270-51909-42,1.3,7.226548602345139,4.65548879765487,0.12011925305117158,,9.262176233286043,0.2055892836393191,0.12533960306176814,10.460898059518806,10.670560123585794
270-51909-113,1.3,7.344568240543175,4.869132716873338,0.12608379706629125,,9.295857656221939,0.21063745773250142,0.13307871743286614,10.809659676248971,11.01929151597242
270-51909-618,1.3,7.318890754332775,4.833742138001461,0.12619254050324322,,9.284872708294383,0.21093858271694238,0.13353441775944355,10.909856979636167,11.119452021989312
271-51883-175,1.3,7.48923639892364,5.13955019679642,0.1306739087972808,,9.320595124727406,0.21405805813852924,0.13794481280813084,10.546220012126259,10.75586682863147
271-51883-265,1.3,7.2258838846464455,4.659050184793422,0.1196496486657073,,9.25602528541066,0.20509436422379324,0.12443973801942519,10.894199273216195,11.103867615553897
274-51913-252,1.3,8.002436150243614,6.036325852253739,0.138219594661831,,9.469116929246393,0.21734350648392575,0.14347280816378058,10.887160541610209,11.097116387532445
275-51910-610,1.3,7.762020123797987,5.645734738614746,0.133061026908643,,9.359502607013182,0.2137890276344912,0.13731480821034173,10.938792884109388,11.148607988107472
276-51909-436,1.3,7.294480620551938,4.778069174714407,0.12480748883345412,,9.28648858875559,0.20980008143009138,0.13189042042739968,10.731886607784729,10.941502607382386
277-51908-382,1.3,7.491817124181713,5.120277142417885,0.13321984479191273,,9.349739195577962,0.21681601799630068,0.14252425796732673,10.756676395152176,10.96629066403446
279-51984-225,1.3,7.936724049689619,6.021888128727236,0.12654347691145443,,9.336172114422553,0.2053528435923055,0.12384314079031894,10.629027293598785,10.839098134255707
279-51984-516,1.3,8.105914785591478,6.296800010454258,0.13070042836085824,,9.425398792258258,0.20840515967533413,0.13020106349973756,11.103661633734793,11.313798208473882
279-51984-595,1.3,7.945122991463103,6.021666928026058,0.12880339595513937,,9.357309737714964,0.20770336449208693,0.12768052877038233,10.643979856344243,10.854018101688265
280-51612-145,1.3,7.691018313203662,5.542135045817677,0.12946643773758962,,9.3156657931715,0.21068372460803617,0.13196154364893847,10.548534052828668,10.758354211231493
280-51612-441,1.3,7.591375534137553,5.3018908919035574,0.13232146123141103,,9.356682166959093,0.21496927804051585,0.13924527212461058,10.584617871666524,10.794339856934636
283-51959-453,1.3,7.36522739804548,4.881495992738187,0.12960065821042704,,9.332388466230476,0.21433607333440247,0.13907871179118875,10.814877539497308,11.024471479418754
284-51943-559,1.3,7.489627298962731,5.121573473073045,0.133005214602262,,9.344248207897568,0.21653838167344497,0.142121138451413,10.863588985794742,11.073199942879647
285-51930-140,1.3,7.2466842,4.635662424875258,0.12354890608973815,,9.331945950217953,0.20973575938309597,0.13210447434702308,10.5598150868444,10.769483350213061
286-51999-432,1.3,7.4179244,5.010165926030482,0.12880263305969378,,9.305430056033392,0.21274081440101283,0.13616298997599488,10.783727096311951,10.993350343292438
