plate,mjd,fiberid,fibermag_r,petromag_r,z
1242,52901,331,16.54792,15.52795,0.03984664
294,51986,253,17.94353,17.01119,0.08491749
296,51984,230,18.14473,17.45719,0.08697884
296,51984,233,18.22562,17.70168,0.08408105
310,51990,74,18.33261,17.81421,0.09076992
313,51673,26,18.18451,17.30946,0.08427101
363,51989,279,18.29098,17.51791,0.08663638
363,51989,174,18.21492,17.51875,0.08583865
292,51609,393,18.66666,17.80177,0.09143047
296,51984,422,17.27604,16.46505,0.05369467
302,51688,623,18.02962,17.20438,0.05391951
302,51688,636,17.83524,17.01576,0.05439847
303,51615,552,17.27273,16.47168,0.05278205
295,51985,410,17.55228,16.59952,0.07298487
311,51665,605,18.18267,17.55149,0.09329423
270,51909,42,17.38836,16.61147,0.04499136
270,51909,42,17.38836,16.61147,0.04499136
279,51984,225,17.47091,16.50074,0.04776745
303,51615,75,17.81937,17.01626,0.08258954
304,51609,90,17.5622,16.81172,0.05100724
266,51630,177,17.90845,17.15841,0.0632066
266,51630,177,17.90845,17.15841,0.0632066
270,51909,113,18.19577,17.52345,0.0915454
270,51909,113,18.19577,17.52345,0.0915454
271,51883,265,17.15579,16.22687,0.05991426
271,51883,175,17.9006,17.3851,0.06452124
280,51612,145,17.46097,16.71725,0.04832833
306,51637,72,18.37615,17.65252,0.09269177
310,51990,71,18.24349,17.55193,0.09051643
311,51665,186,17.78143,17.03528,0.09227359
313,51673,153,17.77554,17.08086,0.04460059
276,51909,436,16.6614,15.7358,0.04032925
279,51984,595,18.10898,17.52324,0.07258304
307,51663,385,18.30494,17.35175,0.05706688
315,51663,557,18.25648,17.6326,0.07964799
467,51901,272,18.22401,17.48838,0.09643786
467,51901,71,18.05583,17.23032,0.08624901
270,51909,618,18.15761,17.4613,0.09661758
283,51959,453,17.83814,17.0192,0.07569534
295,51985,634,17.70301,16.9506,0.07978579
305,51613,506,17.95119,17.28595,0.0844623
481,51908,296,18.61799,17.80398,0.0985582
275,51910,610,18.18988,17.45061,0.09704216
426,51882,200,17.80837,17.07309,0.07268868
430,51877,325,17.80253,17.13175,0.06655195
459,51924,211,18.52062,17.74133,0.06968353
339,51692,422,18.34615,17.67098,0.08589594
333,52313,428,18.14001,17.40141,0.08856412
338,51694,495,18.11654,17.39074,0.08578072
339,51692,603,18.10357,17.39865,0.08259552
334,51993,57,18.05946,17.47871,0.07121044
329,52056,140,18.1789,17.38798,0.0707938
339,51692,276,18.22252,17.67743,0.08495803
341,51690,133,17.63091,16.86755,0.08679923
334,51993,240,16.02815,14.67561,0.02497949
339,51692,192,17.40395,16.62532,0.06443235
339,51692,594,17.64164,16.86675,0.07612113
330,52370,600,17.80333,17.09479,0.07974511
338,51694,468,17.70421,16.85888,0.08484954
338,51694,464,18.37945,17.65568,0.08649816
332,52367,535,18.35229,17.59957,0.0812453
337,51997,450,16.70394,15.70927,0.04821774
338,51694,459,18.27852,17.4953,0.0829585
339,51692,609,18.25023,17.58944,0.08181681
340,51990,389,18.03391,17.4004,0.08405636
472,51955,82,17.23844,16.27795,0.05201171
476,52314,257,17.79759,17.18946,0.04803053
472,51955,78,18.1454,17.41757,0.09098859
468,51912,262,17.98347,17.30225,0.09921695
475,51965,84,17.59081,16.7442,0.07228389
599,52317,355,17.91,17.25277,0.06489683
445,51873,581,18.41211,17.65479,0.0974091
435,51882,538,18.00673,17.18402,0.07116088
443,51873,598,17.51943,16.80875,0.05151215
453,51915,343,18.31353,17.72116,0.09616384
295,51985,486,17.84133,17.23164,0.0817907
355,51788,290,18.13606,17.38882,0.08387049
367,51997,234,16.96539,15.96866,0.07246289
359,51821,368,17.40053,16.61179,0.05182534
351,51695,578,17.542,16.70416,0.0772469
362,51999,296,17.11447,16.22719,0.05167442
445,51873,622,18.35328,17.69955,0.07433217
602,52072,181,17.48464,16.88497,0.04094067
604,52079,180,16.21549,15.26392,0.03107941
622,52054,342,17.84277,17.32266,0.08302419
435,51882,509,17.62052,16.72549,0.07482351
439,51877,165,17.9839,17.36206,0.0833552
443,51873,633,17.71399,17.10888,0.05316161
445,51873,567,18.13597,17.33841,0.09806902
449,51900,193,18.16021,17.53504,0.08600901
614,53437,422,18.05734,17.36617,0.06833778
618,52049,326,18.08739,17.49483,0.08316506
447,51877,460,18.06752,17.38893,0.08679495
446,51899,71,17.11395,16.18172,0.04273668
450,51908,367,18.17986,17.53758,0.08183832
452,51911,333,18.25719,17.54406,0.09716186
448,51900,518,17.87246,17.13186,0.08744816
496,51988,187,18.22195,17.66853,0.06604797
487,51943,182,17.75551,17.09113,0.06673117
483,51924,548,17.93766,17.22708,0.0948898
491,51942,468,17.49505,16.65552,0.05454722
496,51988,459,18.11607,17.4264,0.09857894
442,51882,146,18.24964,17.57243,0.07169995
444,51883,147,16.82408,15.67611,0.04408879
432,51884,170,18.19049,17.57407,0.07200022
297,51959,198,18.00565,17.43645,0.07998345
297,51959,467,18.19857,17.47124,0.08448351
617,52072,347,18.26441,17.64329,0.07202963
485,51909,432,17.14714,16.43159,0.05781955
2947,54533,47,17.8299,16.97565,0.07474704
621,52055,136,17.61335,16.71487,0.06377765
621,52055,83,17.68501,16.81731,0.06289016
621,52055,100,18.13447,17.48289,0.06350244
623,52051,425,17.75471,16.86391,0.08826665
444,51883,626,16.82429,15.74205,0.04680038
629,52051,175,18.00672,17.21901,0.07341997
629,52051,148,17.54764,16.73111,0.06149645
521,52326,207,18.06545,17.16193,0.0874832
313,51673,414,18.22051,17.54632,0.08228496
524,52027,163,17.88487,17.18992,0.04770138
533,51994,109,16.62911,15.59776,0.05530299
540,51996,195,16.57165,15.46046,0.02826536
506,52022,400,18.37533,17.71188,0.08166806
528,52022,306,17.96861,17.36255,0.07915866
534,51997,555,18.51156,17.80383,0.08533819
537,52027,313,17.58865,16.69562,0.07271609
505,52317,501,18.04346,17.2858,0.07787945
521,52326,440,17.86362,17.38873,0.0737734
530,52026,510,18.25641,17.53443,0.09268919
539,52017,490,18.3252,17.63145,0.09596038
2953,54560,431,17.4645,16.53571,0.05100054
523,52026,538,17.27582,16.44517,0.07170247
524,52027,361,17.69018,16.76749,0.0700973
537,52027,609,16.99259,16.06857,0.02917935
540,51996,530,18.49142,17.71908,0.09989419
518,52282,406,17.81659,17.10186,0.07639409
518,52282,452,18.10308,17.4655,0.08001015
518,52282,449,17.95874,17.259,0.07840803
518,52282,450,18.07484,17.55212,0.07823912
844,52378,216,18.23194,17.63445,0.07625999
518,52282,568,18.08569,17.51943,0.07633731
518,52282,577,17.9382,17.22859,0.07501289
518,52282,566,17.79727,17.00849,0.07800902
268,51633,369,17.29359,16.58317,0.0465229
268,51633,369,17.29359,16.58317,0.0465229
521,52326,264,17.88856,17.19803,0.07509001
537,52027,270,18.49795,17.7747,0.08434063
477,52026,194,18.35386,17.73923,0.07668866
481,51908,149,18.44083,17.79642,0.09879934
481,51908,40,16.84887,15.82106,0.03167216
509,52374,164,18.31501,17.68099,0.06574912
519,52283,193,18.4594,17.80408,0.09127671
521,52326,303,18.1409,17.55132,0.08014645
480,51989,344,18.42111,17.87754,0.0641013
503,51999,550,18.28741,17.78456,0.07335065
509,52374,493,17.95021,17.39212,0.0643985
510,52381,475,17.90009,17.10831,0.07475983
510,52381,199,18.1292,17.46113,0.07608543
510,52381,175,17.87196,17.12616,0.07982262
534,51997,634,18.32991,17.64422,0.08612736
511,52636,481,17.05386,16.1544,0.04800332
