aid,ra,dec,logage,logZ,alpha_fe,sigma_e_ppxf,lookbackTime,z
spec-0266-51630-0177,146.165601142076,-0.0641431119018213,10.151829219979955,0.10575206078085282,0.0329751181802324,221.15068740840223,0.8433965074520419,0.0632066
spec-0267-51608-0125,147.927875985207,-0.956982502229085,10.138250394096502,0.15432807843566326,0.248825937839219,208.36870890732945,1.2032841000396028,0.09202483
spec-0268-51633-0098,149.667680146049,-0.770641388447921,10.129069911859387,0.3431068772136909,0.32251928704435,259.2647276203397,1.1209438395784412,0.08532126
spec-0268-51633-0369,148.936581101638,0.860802328987421,10.147195781652012,0.16467288548788325,0.255922541090571,203.5522812387824,0.6276854290368795,0.0465229
spec-0268-51633-0509,150.017000238163,0.495856500537868,10.166184200248336,0.36407055862757676,0.269585565288172,229.38861760775427,1.1968164620279427,0.09149828
spec-0268-51633-0625,150.42182589139,0.624832351242567,10.152425259414379,0.23313332823826566,0.280105255460402,238.67688914956233,0.8797338769654269,0.06608251
spec-0269-51910-0214,150.533961295167,-0.789381423378474,10.167362285780067,0.3991865285057056,0.279166397054064,269.6219329420745,1.2299042863998917,0.09419206
spec-0269-51910-0271,150.738309228238,0.110461642564092,10.154037719407194,0.11015069193181347,0.174182451691413,208.82865024958463,1.2161817899413474,0.09307487
spec-0270-51909-0042,153.379287757753,-0.946913548121108,10.14394491609346,0.2800362242223505,0.137965179631038,181.07859119299528,0.6077761917462103,0.04499136
spec-0270-51909-0113,153.452021636059,-0.10520204904681,10.158518005358614,0.23524079130888648,0.177523722510923,221.2058311824094,1.197395239168023,0.0915454
spec-0270-51909-0618,153.731909253801,0.671970104190547,10.062024424545065,0.31407044745385926,0.364274280853274,239.18048458315704,1.259697060780372,0.09661758
spec-0271-51883-0175,154.44689385029,-0.0545218729837939,10.146483176132891,0.17711384236434372,0.101290187079444,238.4428765679513,0.8600070966071534,0.06452124
spec-0271-51883-0265,154.002658423186,-0.112700987831629,10.154286956135959,0.3806797552824553,0.137095002854516,256.37987974064845,0.8017662652440802,0.05991426
spec-0274-51913-0252,159.406895311189,-0.674303785160012,10.16815285842341,0.3988424322380023,0.258822532934518,228.75001816640798,1.2735519684776702,0.09774555
spec-0275-51910-0610,162.410288555627,1.10486063526026,10.162120615387652,0.24558402748907124,0.0863375795457638,246.91758529333435,1.2649121965642305,0.09704216
spec-0276-51909-0436,162.525717889481,0.333248799031144,10.142381722336301,0.30515742840973603,0.190556188793566,225.35468550402769,0.547171144365664,0.04032925
spec-0277-51908-0382,164.812086451726,0.528522952194196,10.156372538931631,0.24847925318282982,0.420727257687071,232.59916839455465,1.110597829708113,0.08447896
spec-0279-51984-0225,168.630805055332,-0.57434673300539,10.106456679856537,0.17604254913147727,0.14385167548788,187.22336314464957,0.6438639429967515,0.04776745
spec-0279-51984-0516,169.342616254385,0.0212702552260309,10.139080485012249,0.3555170331924164,0.291893243450754,262.91312933451303,1.2968852116570264,0.09964518
spec-0279-51984-0595,170.037079300727,0.22358570766223,10.132805395829537,0.2790808392388651,0.0156018361625019,282.4081928893067,0.9618686310581652,0.07258304
spec-0280-51612-0145,170.895978287046,-0.0901425069686865,10.147742361892968,0.000904781937564465,0.0705055969389,187.7055569481965,0.6511550963532362,0.04832833
spec-0280-51612-0441,170.652749639134,1.13356264664508,10.159653466131275,0.16435438322244075,-0.122212384006879,197.19612072145597,0.9711033625448748,0.07331392
spec-0283-51959-0453,175.828303997326,0.747881740538141,10.15822546111302,0.35689479057098594,0.225964497877657,226.23931064174658,1.0011928084964403,0.07569534
spec-0284-51943-0559,178.879311012362,0.428935826446808,10.154880402365537,0.25522802578439346,0.236343049832908,225.10390442873157,0.8113219631753384,0.06066807
spec-0285-51930-0140,179.654723056726,-0.787792137225404,10.161287847550978,0.22919438401364167,-0.0292876283522947,180.0083261343693,1.0632660935636036,0.08062554
spec-0286-51999-0432,181.191612871712,0.612214610985231,10.15592050638866,0.19420146363004134,0.16614143948322,210.91973490246204,1.1421588714291282,0.08704844
spec-0290-51941-0245,188.438747889563,-0.696331647458819,10.160555381440718,0.1908078581776585,-0.0451139094876083,205.6786599426002,1.0537504693655382,0.079855
spec-0291-51928-0156,191.28753006922,-0.21302112740129,10.143627866149089,0.37187819012150924,0.280482839204273,232.90088289333923,0.6496240165459213,0.04821055
spec-0291-51928-0439,190.547189942505,0.534994862573811,10.131730918295371,0.2964889396507658,0.21188620732126,211.08066021964038,1.156786014245205,0.08823928
spec-0291-51928-0571,191.301581978594,0.797274986854132,10.162249688130201,0.04073056845383139,0.284101499128259,199.3980888958784,1.0567058413830934,0.08009145
spec-0292-51609-0393,191.745712027863,0.148594809307698,10.099916287113858,0.28520180135117745,0.0687622994277853,205.20328392701438,1.1959835486606065,0.09143047
spec-0294-51986-0253,195.994726086497,-0.750706691744081,10.149473847565869,0.3336790434241033,0.293823735841556,252.7278297999659,1.1159843139873902,0.08491749
spec-0295-51985-0410,198.109292721556,0.984386412881886,10.159508131289494,0.3991757859880798,0.362601785888722,286.31778160524664,0.9669457875726469,0.07298487
spec-0295-51985-0486,198.589397674047,0.324438719460638,10.15267398978149,0.16590711167758598,0.0733598348626197,228.86987503804548,1.0775778077515552,0.0817907
spec-0295-51985-0634,199.080964913965,0.83752476895688,10.15639089125036,0.3630667723846352,0.474764066488796,244.45445116719705,1.0528759950794788,0.07978579
spec-0296-51984-0230,199.693964132575,-0.757549849529011,10.164765907107737,0.2596147873082859,0.0762630471449008,227.2827338920663,1.1413039714089752,0.08697884
spec-0296-51984-0233,199.775666757732,-0.752690296231801,10.160154335509079,0.23998824656918663,0.173002508582564,236.1284647916515,1.105710282768184,0.08408105
spec-0296-51984-0422,199.901663555211,0.181678751636027,10.126759104850507,0.28821760494517756,0.273127458946413,213.89271925172875,0.7209147738297697,0.05369467
spec-0297-51959-0198,201.554555133835,-0.180351121244318,10.162418512338414,0.1635534812086118,0.0573834018160769,269.05099393225754,1.0553734461325424,0.07998345
spec-0297-51959-0467,201.61936879764,0.240675715983931,10.154193681541148,0.178822640619249,-0.0443054973745297,219.29316497555038,1.1106537175686257,0.08448351
spec-0299-51671-0590,206.472902514983,0.411127510388157,10.162954041678047,0.2803043142616921,0.450964532439608,190.36183487948114,1.1669245634640912,0.08906469
spec-0302-51688-0099,212.095439514555,-0.746181108458074,10.042365615316767,-0.014603756767008579,-0.0745690367249162,228.236545217622,1.046605707415848,0.07928953
spec-0302-51688-0176,212.006606587214,-0.225604351730019,10.146575175436446,0.18349903104398593,0.243852561330876,168.04700633660335,0.7156429610851739,0.05328913
spec-0302-51688-0623,213.063209319953,0.0538507611474738,10.141653186313778,0.1631014798607986,0.0287045187500379,172.73836341861352,0.723837578922966,0.05391951
spec-0302-51688-0636,212.977553655234,0.497815559492924,10.134842785894948,0.00747295723593357,0.104986772862527,178.41227010839157,0.7300638141455125,0.05439847
spec-0303-51615-0075,214.409027526817,-0.48220834083836,10.16202118243146,0.22316454090459395,-0.0440365164512288,265.95192481910897,1.0873899964311384,0.08258954
spec-0303-51615-0278,213.229064319243,-0.437106671327315,10.161583083408546,0.2905248059862515,-0.00298271303046156,199.07234933939873,1.0965038939304677,0.08333153
spec-0303-51615-0552,214.509058591385,0.484231223262378,10.13391061815079,0.2782963036775173,0.176572075948902,223.75402421914742,0.7090511802336438,0.05278205
spec-0304-51609-0090,215.49596625329,-0.59034196644354,10.150391471263179,0.2582904665667956,0.196557258007536,232.71755837752997,0.6859795572686199,0.05100724
spec-0305-51613-0506,216.437104406732,0.835925754924136,10.156950624092618,0.25495905050755774,0.105515117788198,231.12811549856497,1.110393194157312,0.0844623
spec-0306-51637-0072,218.950148915195,-0.165529910679457,10.166988453839453,0.2586867165342909,-0.0447904038219617,237.69307892403023,1.2114761549166262,0.09269177
spec-0307-51663-0385,218.992198653161,0.401041702007434,10.136810690183449,0.014676301709234773,0.41961811488789,178.93261541634013,0.7647517804270295,0.05706688
spec-0310-51990-0071,227.057885812335,-0.193898874016964,10.136385902980539,0.2622764926867329,0.154860416264962,223.4646581794132,1.184756353051115,0.09051643
spec-0310-51990-0074,227.103376032237,-0.276582988366066,10.135478055484787,0.22026627445719502,0.147263571494079,234.18960425403372,1.187869982449227,0.09076992
spec-0310-51990-0390,225.182124533832,0.490181571523571,10.146195418727672,0.359422414754045,0.268671670001711,222.03413548038003,0.5700291857274091,0.04208763
spec-0311-51665-0186,227.725121692493,-0.151277419182367,10.163666484903086,0.2201311142512032,0.180580068315036,242.25894744471333,1.2063396306288736,0.09227359
spec-0311-51665-0605,228.297273936058,0.944550499806351,10.037643124547126,0.3181006856876607,-0.344877778248768,202.51054614806884,1.2188761989703811,0.09329423
spec-0313-51673-0026,232.313165759471,-0.269942992555776,10.16306813564468,0.3095431530275329,0.560873638263939,214.59079432348446,1.1080435702369806,0.08427101
spec-0313-51673-0153,231.863010532552,-0.0982700400789658,10.148139240130027,0.033506795743818645,0.236441013532814,174.32576387270225,0.6026963814532538,0.04460059
