Nome,Slope,Idade Média(L),Idade Média Log(L),Metalicidade Média(L),Metalicidade Média Log(L)Idade Média(M),Idade Média Log(M),Metalicidade Média(M),Metalicidade Média Log(M),Mcor,Mini
266-51630-177,1.5,7.377502787750279,4.940459553259816,0.1253754604389401,,9.13303452718146,0.20924636386119103,0.1302296206697745,997684.227208448,1411641.6135592568
267-51608-125,1.5,7.191033325,4.597311565009607,0.11362034995820063,,9.052081732628027,0.1991910774923804,0.11449105694217039,991283.2072286308,1402778.6483686035
268-51633-98,1.5,7.625502362550237,5.383567887244797,0.133597402457981,,9.213355051854657,0.21530655404221063,0.1395820277264916,961898.887356774,1361178.7332651226
268-51633-369,1.5,7.224777527522248,4.654068891948266,0.11786240189767333,,9.081658446388042,0.20303125653912701,0.12076922866028322,1332309.9116035374,1885183.0145484093
268-51633-509,1.5,7.5464189953581,5.215687388032668,0.13468222785653416,,9.221622401134908,0.2172751452258334,0.14300304873912928,924913.6479207937,1308640.6144077813
268-51633-625,1.5,7.36735919847184,4.872332978419192,0.13005738852960014,,9.19174814147843,0.2144528038497096,0.13905450136619413,770882.6543605048,1090599.032964868
269-51910-214,1.5,7.3300851820340736,4.818012145919755,0.12851349839977216,,9.167861457271663,0.21304815257374665,0.1368223750990991,679627.190061532,961463.6725127613
269-51910-271,1.5,7.253854499229099,4.699141175680909,0.11980964993248881,,9.101836803931173,0.20476267133707796,0.1235979513995057,459214.3712496949,649770.7596842598
270-51909-42,1.5,7.229294543788363,4.658990107011543,0.12020199961058023,,9.09619937195137,0.20531557367276237,0.12459232216643343,1178128.9600848544,1666873.082737909
270-51909-113,1.5,7.351923770384754,4.880161248439038,0.12615833282049088,,9.142691905775541,0.2102547700528712,0.1321676096367102,655548.1118445173,927490.783363891
270-51909-618,1.5,7.321130435773913,4.834830282370924,0.12619027913839473,,9.129809348821672,0.21049981522805444,0.13255600665566938,719634.0489155605,1018073.2502765729
271-51883-175,1.5,7.491625225,5.141056802841885,0.13060944143723194,,9.179046185698155,0.21358526401092096,0.13697059551041454,862252.5469649617,1220022.3127541516
271-51883-265,1.5,7.22483273489964,4.655610241970074,0.11949466422182552,,9.088555776566029,0.20462060877029553,0.12339495447746206,1531939.2913900577,2167491.4977706275
274-51913-252,1.5,8.008037496785,6.040673649572054,0.1380484638824944,,9.360305016587246,0.21698970796616995,0.14283939870225162,633467.3465165934,896988.6654931771
275-51910-610,1.5,7.789812246018775,5.6936483102515325,0.13251951516100194,,9.240826696378548,0.21282742919418804,0.13569739587427468,733708.7010183068,1038628.2501546353
276-51909-436,1.5,7.3042447,4.792836613679063,0.12530113119488748,,9.131862252856916,0.20981676649121753,0.13161030736277535,2405777.913626378,3403576.1568015506
277-51908-382,1.5,7.492498450750155,5.118608625154474,0.13312181012108049,,9.207359185432201,0.216263463133617,0.1413978726496914,753892.0656182334,1066635.5344028117
279-51984-225,1.5,7.946387675,6.034139542301313,0.12631433046948198,,9.226371046386337,0.20515724954460687,0.12356446149736948,1282596.2054625375,1816525.6127585785
279-51984-516,1.5,8.19891380510862,6.4635538404696735,0.1288761333143845,,9.350807204593334,0.2062625519727381,0.12729085712019275,931253.4215942209,1319466.7593205734
279-51984-595,1.5,7.951775225000001,6.028060368057758,0.128835197389597,,9.247778542248748,0.20772584987952397,0.12773220481275033,790861.5085330304,1119999.8378293607
280-51612-145,1.5,7.693933372426651,5.542558306504312,0.1294949283377996,,9.190277651178018,0.21050197323162367,0.13159048989165964,1281369.0294669874,1813741.943941243
280-51612-441,1.5,7.601796825,5.318507363912427,0.13214725527931667,,9.222028897284329,0.21435846379601947,0.13806927953911896,625621.6428940039,885382.2917948937
283-51959-453,1.5,7.375093512490649,4.897045064244071,0.12977702453539247,,9.18112562222362,0.213968468606843,0.13816181938486977,866820.7640339321,1226327.2116447666
284-51943-559,1.5,7.49616989923398,5.130771969747141,0.13294446861696094,,9.202783043125478,0.21597264264921703,0.1409645239978741,1362626.82665684,1927898.0231443362
285-51930-140,1.5,7.253282924671707,4.645630224973289,0.12368310549924517,,9.166206052863878,0.2093733655875003,0.13118685989988202,525287.4527802707,743229.1801420816
286-51999-432,1.5,7.432311718231172,5.032909273919019,0.12910556912092536,,9.162298298539184,0.21252927364092178,0.1355351037184312,637891.4539852552,902517.8798646535
290-51941-245,1.5,7.42766,5.001939142422621,0.1284150863341219,,9.177033446825368,0.212137063729787,0.13491666727766227,629671.722833616,890956.3723896628
291-51928-156,1.5,7.689491181847355,5.502170152943525,0.135381665332507,,9.231931964177681,0.2164522857516954,0.14143096528540622,1840251.479003419,2604235.775260517
291-51928-439,1.5,7.90874775,5.915213421848165,0.13131662580407993,,9.266925046881404,0.21080807644108546,0.1324216389253815,687292.8812484929,973207.0312350127
291-51928-571,1.5,7.564555106455511,5.276058002676738,0.1280348510225616,,9.182584374173716,0.21048000890936844,0.13181310198462684,654138.5114674944,925798.8593705574
292-51609-393,1.5,7.952353834529234,6.033776062567886,0.12842015682687746,,9.243268021650243,0.2072640029041238,0.12705479817029994,475347.30525598174,673180.8671782148
294-51986-253,1.5,7.694581775,5.513564191963359,0.13392935940947037,,9.227315382048186,0.21504806821703637,0.1390630469198467,872173.2686070909,1234354.1593736147
295-51985-410,1.5,7.39825469534906,4.9454152157917,0.1311293853845188,,9.184214995598829,0.21502450348371893,0.13978780981049632,1195651.078299463,1691483.2277346053
295-51985-486,1.5,7.500536324839103,5.1430718200475205,0.1310684994262163,,9.193604563084541,0.21408804017636127,0.1377536187300987,937490.0014198923,1326522.00580292
295-51985-634,1.5,7.331869833626032,4.834889793356529,0.12714773588084927,,9.151436287446185,0.2115101727478585,0.1343030449451359,1047557.6646354118,1482023.6644912635
296-51984-230,1.5,7.346549140345086,4.862954222346934,0.12743717058595222,,9.153506993461207,0.2116739351612319,0.13449264782278175,712365.6468170338,1007826.2490070233
296-51984-233,1.5,7.479790577020942,5.089053227736659,0.13167856618426577,,9.205307718281269,0.21503846149248912,0.13947396021741743,668143.4391217943,945367.1906557491
296-51984-422,1.5,7.211736475,4.637476851657472,0.1176337905179525,,9.073171076723474,0.20286369313832808,0.12052631503449815,1354397.3323038458,1916370.228649997
297-51959-198,1.5,7.699248314849663,5.535260673823786,0.13144219626044523,,9.210850032062739,0.21256607707063374,0.13486806181029812,825930.3413647122,1169030.8950810928
297-51959-467,1.5,7.728064193419259,5.594255087226903,0.13048096432471074,,9.208535673521991,0.21129595448213298,0.13278623870752335,693498.1538605499,981671.9488883726
299-51671-590,1.5,7.708414670841467,5.511344128625996,0.13635540869081972,,9.260126985163177,0.2175428628660646,0.14312334882748115,601399.1532701472,851119.6339988849
302-51688-99,1.5,7.564137925,5.2986784434523715,0.12751283797324306,,9.160833376973356,0.209739155341146,0.1303822767650638,559509.285860439,791851.1197813741
302-51688-176,1.5,7.979249141699658,6.048981266999985,0.1302833376590126,,9.28318653749226,0.20927498494998148,0.13015461013336785,850067.6795663418,1203916.6672271788
302-51688-623,1.5,7.509769272069219,5.1539131166039915,0.13065666397143244,,9.199073888721902,0.21370887288982993,0.13708304888523898,735842.6893840865,1041253.5015911065
302-51688-636,1.5,7.322209539441908,4.844556227302118,0.12179530505138225,,9.106385846158108,0.20609648301105657,0.12530116030563937,872523.8670360625,1234603.1292654402
303-51615-75,1.5,7.500412500123749,5.152312666545994,0.1311120831535533,,9.186426328617406,0.21403185020110513,0.1377656078305655,937327.8975597112,1326251.9111874138
303-51615-278,1.5,7.7333723,5.565975664127963,0.13309723694748563,,9.252356088275372,0.21446203514780124,0.13806490993860585,651025.4097790621,921517.3144133047
303-51615-552,1.5,7.325463384907323,4.839391424563751,0.12601168367179122,,9.13269963544891,0.2102996332699788,0.13224223060767823,1531215.9158402593,2166283.474278535
304-51609-90,1.5,7.121404991421499,4.496620305691151,0.10832155463973829,,8.994184657779622,0.19425778166086838,0.10647861841602975,963337.5543028099,1363272.2999507561
305-51613-506,1.5,7.5107078,5.158607029993337,0.13284656581362433,,9.203562218300776,0.21575516404807007,0.14054050326975287,898211.567184663,1270862.7303054763
306-51637-72,1.5,7.70395135,5.524617915360989,0.1339166219008956,,9.234284357230313,0.21504033386887675,0.1389935540744566,619721.2297359583,877100.7255845447
307-51663-385,1.5,7.611960427607915,5.374131267625945,0.12677582072403293,,9.178741074627661,0.20887238243173062,0.12875008846137048,551873.9562568092,781176.553713232
