Nome,plate,mjd,fiberid,fibermag_r,petromag_r,z
266-51630-177,266,51630,177,17.90845,17.15841,0.0632066
267-51608-125,267,51608,125,17.68149,17.8055,0.09202483
268-51633-98,268,51633,98,17.85475,17.0673,0.08532126
268-51633-369,268,51633,369,17.29359,16.58317,0.0465229
268-51633-509,268,51633,509,17.8765,17.1382,0.09149828
268-51633-625,268,51633,625,17.9587,17.33138,0.06608251
269-51910-214,269,51910,214,18.21714,17.47888,0.09419206
269-51910-271,269,51910,271,18.41159,17.80835,0.09307487
270-51909-42,270,51909,42,17.38836,16.61147,0.04499136
270-51909-113,270,51909,113,18.19577,17.52345,0.0915454
270-51909-618,270,51909,618,18.15761,17.4613,0.09661758
271-51883-175,271,51883,175,17.9006,17.3851,0.06452124
271-51883-265,271,51883,265,17.15579,16.22687,0.05991426
274-51913-252,274,51913,252,18.42594,17.6756,0.09774555
275-51910-610,275,51910,610,18.18988,17.45061,0.09704216
276-51909-436,276,51909,436,16.6614,15.7358,0.04032925
277-51908-382,277,51908,382,18.05261,17.48079,0.08447896
279-51984-225,279,51984,225,17.47091,16.50074,0.04776745
279-51984-516,279,51984,516,18.0054,17.16877,0.09964518
279-51984-595,279,51984,595,18.10898,17.52324,0.07258304
280-51612-145,280,51612,145,17.46097,16.71725,0.04832833
280-51612-441,280,51612,441,18.26891,17.59926,0.07331392
283-51959-453,283,51959,453,17.83814,17.0192,0.07569534
284-51943-559,284,51943,559,17.25638,16.30419,0.06066807
285-51930-140,285,51930,140,18.37886,17.79872,0.08062554
286-51999-432,286,51999,432,18.22462,17.47029,0.08704844
290-51941-245,290,51941,245,18.19383,17.49726,0.079855
291-51928-156,291,51928,156,16.88342,15.96529,0.04821055
291-51928-439,291,51928,439,18.21945,17.53399,0.08823928
291-51928-571,291,51928,571,18.16736,17.32625,0.08009145
292-51609-393,292,51609,393,18.66666,17.80177,0.09143047
294-51986-253,294,51986,253,17.94353,17.01119,0.08491749
295-51985-410,295,51985,410,17.55228,16.59952,0.07298487
295-51985-486,295,51985,486,17.84133,17.23164,0.0817907
295-51985-634,295,51985,634,17.70301,16.9506,0.07978579
296-51984-230,296,51984,230,18.14473,17.45719,0.08697884
296-51984-233,296,51984,233,18.22562,17.70168,0.08408105
296-51984-422,296,51984,422,17.27604,16.46505,0.05369467
297-51959-198,297,51959,198,18.00565,17.43645,0.07998345
297-51959-467,297,51959,467,18.19857,17.47124,0.08448351
299-51671-590,299,51671,590,18.42819,17.80963,0.08906469
302-51688-99,302,51688,99,18.45205,17.7051,0.07928953
302-51688-176,302,51688,176,17.9526,17.15778,0.05328913
302-51688-623,302,51688,623,18.02962,17.20438,0.05391951
302-51688-636,302,51688,636,17.83524,17.01576,0.05439847
303-51615-75,303,51615,75,17.81937,17.01626,0.08258954
303-51615-278,303,51615,278,18.35791,17.62861,0.08333153
303-51615-552,303,51615,552,17.27273,16.47168,0.05278205
304-51609-90,304,51609,90,17.5622,16.81172,0.05100724
305-51613-506,305,51613,506,17.95119,17.28595,0.0844623
306-51637-72,306,51637,72,18.37615,17.65252,0.09269177
307-51663-385,307,51663,385,18.30494,17.35175,0.05706688
310-51990-71,310,51990,71,18.24349,17.55193,0.09051643
310-51990-74,310,51990,74,18.33261,17.81421,0.09076992
310-51990-390,310,51990,390,16.72493,15.75553,0.04208763
311-51665-186,311,51665,186,17.78143,17.03528,0.09227359
311-51665-605,311,51665,605,18.18267,17.55149,0.09329423
313-51673-26,313,51673,26,18.18451,17.30946,0.08427101
313-51673-153,313,51673,153,17.77554,17.08086,0.04460059
313-51673-414,313,51673,414,18.22051,17.54632,0.08228496
315-51663-557,315,51663,557,18.25648,17.6326,0.07964799
315-51663-581,315,51663,581,18.21314,17.59657,0.0635557
328-52282-505,328,52282,505,17.23354,16.32511,0.04762832
328-52282-507,328,52282,507,18.10772,17.45779,0.07367941
329-52056-140,329,52056,140,18.1789,17.38798,0.0707938
330-52370-600,330,52370,600,17.80333,17.09479,0.07974511
332-52367-535,332,52367,535,18.35229,17.59957,0.0812453
333-52313-428,333,52313,428,18.14001,17.40141,0.08856412
334-51993-57,334,51993,57,18.05946,17.47871,0.07121044
334-51993-240,334,51993,240,16.02815,14.67561,0.02497949
336-51999-580,336,51999,580,17.83043,16.97518,0.08759213
337-51997-365,337,51997,365,18.1795,17.48603,0.08103285
337-51997-366,337,51997,366,18.36238,17.6734,0.08842289
337-51997-415,337,51997,415,18.08799,17.3821,0.08050782
337-51997-417,337,51997,417,18.2094,17.40725,0.08372385
337-51997-450,337,51997,450,16.70394,15.70927,0.04821774
338-51694-459,338,51694,459,18.27852,17.4953,0.0829585
338-51694-464,338,51694,464,18.37945,17.65568,0.08649816
338-51694-468,338,51694,468,17.70421,16.85888,0.08484954
338-51694-495,338,51694,495,18.11654,17.39074,0.08578072
339-51692-192,339,51692,192,17.40395,16.62532,0.06443235
339-51692-276,339,51692,276,18.22252,17.67743,0.08495803
339-51692-422,339,51692,422,18.34615,17.67098,0.08589594
339-51692-594,339,51692,594,17.64164,16.86675,0.07612113
339-51692-603,339,51692,603,18.10357,17.39865,0.08259552
339-51692-609,339,51692,609,18.25023,17.58944,0.08181681
340-51990-389,340,51990,389,18.03391,17.4004,0.08405636
340-51990-390,340,51990,390,18.29865,17.62822,0.08382835
341-51690-133,341,51690,133,17.63091,16.86755,0.08679923
341-51690-542,341,51690,542,18.24651,17.51943,0.08599044
350-51691-90,350,51691,90,18.3427,17.56242,0.07805946
350-51691-92,350,51691,92,18.25467,17.43302,0.07865872
350-51691-251,350,51691,251,18.17415,17.60209,0.08084181
351-51695-578,351,51695,578,17.542,16.70416,0.0772469
355-51788-290,355,51788,290,18.13606,17.38882,0.08387049
359-51821-368,359,51821,368,17.40053,16.61179,0.05182534
362-51999-296,362,51999,296,17.11447,16.22719,0.05167442
363-51989-174,363,51989,174,18.21492,17.51875,0.08583865
363-51989-279,363,51989,279,18.29098,17.51791,0.08663638
363-51989-494,363,51989,494,17.34949,16.49342,0.05977607
367-51997-234,367,51997,234,16.96539,15.96866,0.07246289
371-52078-283,371,52078,283,17.11862,16.0841,0.0594183
371-52078-335,371,52078,335,17.89976,17.24921,0.07452229
374-51791-118,374,51791,118,18.37212,17.67363,0.09506655
374-51791-182,374,51791,182,18.30078,17.61455,0.09048728
374-51791-405,374,51791,405,17.93416,17.3474,0.09022401
376-52143-78,376,52143,78,17.90491,17.08291,0.08772293
376-52143-471,376,52143,471,17.53551,16.95215,0.05763945
378-52146-611,378,52146,611,17.37411,16.6837,0.04882229
379-51789-562,379,51789,562,18.03294,17.26877,0.07109137
380-51792-509,380,51792,509,17.07345,16.07,0.04201333
382-51816-366,382,51816,366,17.94659,17.42212,0.05522059
383-51818-381,383,51818,381,17.94801,17.28332,0.06842115
384-51821-577,384,51821,577,17.31096,16.44002,0.08393247
385-51783-354,385,51783,354,17.77856,17.07737,0.08744142
387-51791-465,387,51791,465,18.22226,17.57284,0.08039642
387-51791-552,387,51791,552,18.16821,17.6155,0.0796163
389-51795-62,389,51795,62,17.07035,16.15906,0.03917692
390-51900-586,390,51900,586,18.18694,17.67106,0.07166046
392-51793-86,392,51793,86,17.92077,17.21321,0.07338227
394-51913-40,394,51913,40,18.14888,17.48536,0.09703932
395-51783-177,395,51783,177,17.2484,16.54336,0.04452216
398-51789-76,398,51789,76,18.16846,17.43924,0.0773474
398-51789-448,398,51789,448,17.96705,17.20276,0.08027731
