plate,mjd,fiberid,fibermag_r,petromag_r,z
279,51984,378,18.45202,17.01755,0.09720837
284,51943,539,18.03858,16.74632,0.0790257
536,52024,208,17.53385,16.25662,0.07818537
309,51994,434,18.73206,17.60775,0.09854996
467,51901,472,18.35733,17.44466,0.09956071
468,51912,627,17.03098,15.09058,0.07123264
267,51608,409,17.34575,15.64646,0.06144949
502,51957,281,16.92867,15.11404,0.0455028
503,51999,287,18.44164,17.56396,0.07807611
505,52317,122,18.27057,17.03983,0.09706457
507,52353,84,17.68229,16.2441,0.06783732
426,51882,201,17.62082,16.47098,0.04521481
430,51877,140,17.86633,16.63833,0.06405633
428,51883,212,17.76044,15.93053,0.059435
419,51879,259,17.49505,15.95404,0.05530283
421,51821,240,17.96527,16.93806,0.08124536
424,51893,104,16.69522,14.43678,0.05563219
419,51879,200,18.21388,16.87337,0.07916083
429,51820,623,17.90539,16.47378,0.09480385
428,51883,33,18.67333,17.5482,0.06156536
421,51821,501,18.30117,17.26321,0.07735561
423,51821,569,16.40416,14.58668,0.03766105
425,51898,453,17.19698,15.80593,0.05301449
423,51821,639,16.85858,14.62321,0.05368993
429,51820,481,18.58838,17.54539,0.06499206
461,51910,150,17.74227,15.71771,0.05546021
463,51908,183,18.74779,17.36368,0.07575123
463,51908,389,17.66186,16.30818,0.09176169
458,51929,345,17.52279,15.22906,0.07693182
461,51910,554,17.05984,15.87215,0.07129116
462,51909,394,16.84393,14.93055,0.03388923
332,52367,252,17.86877,16.04506,0.09788483
332,52367,248,17.22666,15.79711,0.09092757
337,51997,57,18.64211,17.58003,0.0853354
339,51692,138,18.43409,17.39351,0.08761068
339,51692,41,17.77268,16.33822,0.08593418
333,52313,302,17.54375,15.89139,0.07527246
333,52313,106,16.14021,14.41426,0.03793544
339,51692,172,18.26722,17.65333,0.08198275
331,52368,262,17.587,16.24391,0.08143799
338,51694,22,17.78893,16.49558,0.08880296
326,52375,398,18.06195,16.97963,0.04591022
326,52375,381,16.93196,15.4391,0.06286774
327,52294,435,17.12981,15.52574,0.04072556
333,52313,497,17.83666,16.62529,0.08772281
334,51993,474,17.56931,15.95457,0.08191913
338,51694,471,17.62019,15.90784,0.08196446
338,51694,613,17.69713,16.51451,0.08293897
329,52056,574,18.1805,17.28376,0.08067624
340,51990,323,17.41537,15.79185,0.08534023
329,52056,52,16.98462,15.51093,0.02796572
329,52056,53,17.82504,16.89399,0.0768394
330,52370,253,18.17521,16.83049,0.08852556
334,51993,247,17.7348,16.75606,0.06297177
328,52282,62,18.11097,16.88781,0.07029738
332,52367,140,18.15554,16.43656,0.06155215
332,52367,57,17.32074,15.55637,0.05777242
333,52313,252,17.41755,15.98171,0.07993959
341,51690,219,18.27604,16.58088,0.09778965
327,52294,276,18.21994,17.00817,0.07161206
333,52313,239,17.85952,16.78656,0.08001198
326,52375,488,18.04566,16.85421,0.09756846
334,51993,397,17.49852,16.14262,0.08248764
335,52000,392,17.24384,15.23128,0.08371878
327,52294,468,17.28408,15.98511,0.07331242
331,52368,541,17.39997,15.70961,0.07042659
335,52000,347,18.06721,16.4185,0.09227363
337,51997,583,17.91973,16.63379,0.09779009
338,51694,510,17.09053,15.36294,0.08413382
338,51694,585,18.57054,17.64674,0.08600754
330,52370,325,17.41419,15.82524,0.08028415
333,52313,525,17.56796,16.37806,0.06908277
338,51694,449,17.77159,16.74306,0.08139554
338,51694,443,18.06013,16.42001,0.08203541
338,51694,563,17.79322,16.97421,0.08372389
474,52000,286,17.6956,16.24176,0.05570233
476,52314,217,17.8429,16.4927,0.097787
266,51630,217,18.06572,17.12483,0.07156569
474,52000,239,17.95384,16.64325,0.05697802
474,52000,186,18.03268,17.21605,0.05840693
468,51912,190,17.04258,15.84978,0.06614756
266,51630,633,17.79356,16.47175,0.08016862
267,51608,319,18.32897,17.49,0.09311803
472,51955,581,18.33342,16.92333,0.09158603
476,52314,337,18.2051,17.20851,0.09062293
598,52316,282,17.9376,16.42082,0.07755723
598,52316,249,18.623,17.59519,0.09022977
771,52370,149,18.06507,17.15539,0.07350845
773,52376,468,17.79133,16.79927,0.09636454
597,52059,339,16.98586,15.43095,0.06410758
598,52316,460,17.47478,16.39759,0.0568274
600,52317,411,17.29113,15.60848,0.08403348
600,52317,609,17.19944,15.80061,0.08519145
443,51873,67,16.40918,14.40405,0.04522406
449,51900,54,18.55406,17.50519,0.07177736
449,51900,77,17.51539,15.47132,0.06379776
450,51908,127,18.02208,17.43317,0.08161578
451,51908,53,17.43197,16.03424,0.04853034
441,51868,83,16.46678,14.98049,0.03949735
441,51868,477,17.45434,15.80187,0.07475908
449,51900,635,17.84886,16.32816,0.07994016
452,51911,163,17.60219,16.43981,0.08178747
441,51868,446,17.10822,15.55139,0.05632808
449,51900,500,18.82537,17.6729,0.0855711
449,51900,541,16.63183,14.50404,0.03830766
