aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,ng,_RA,_DE,Separation
spec-0266-51630-0180,0.0630479,10.665,10.080592174719374,-0.033341619195642457,0.0353197672549545,131.2717753977338,145.99393743,-0.13585345,1.214,3.19,0.45,3.22,145.99394,-0.13585,0.015487266495184709
spec-0266-51630-0217,0.07156569,10.42,9.82098755548097,0.14771292047161455,0.0668737095039736,120.73300872512311,145.70891647,-0.74766684,1.365,3.39,0.85,5.18,145.70892,-0.74767,0.017055179356131656
spec-0266-51630-0633,0.08016862,10.906,10.160687824421004,0.10270624596874114,,157.58815590914114,147.30828919,0.15117234,1.514,6.23,0.17,5.71,147.30829,0.15117,0.0089144137702871
spec-0267-51608-0025,0.08976489,10.808,10.152757998318421,0.34134454598121144,0.0594485648913645,173.5944882897509,149.11297727,-0.34883753,1.675,10.73,0.67,6.49,149.11298,-0.34884,0.013253439847441019
spec-0267-51608-0026,0.08834462,10.836,10.090036721511874,0.28885061304286835,0.271725486652109,147.73919007190813,149.18632377,-0.31179578,1.651,8.47,0.06,7.97,149.18632,-0.3118,0.020371317928870217
spec-0267-51608-0252,0.09164593,11.028,10.16132038592587,0.24620466319068657,0.00635750472634714,194.65107040414722,147.49367023,-0.8831328,1.707,12.21,0.21,7.49,147.49367,-0.88313,0.010113941912890938
spec-0267-51608-0319,0.09311803,10.554,9.688992865057394,0.10453498589114743,-0.111114462796412,119.02922640085552,147.38902908,0.09017073,1.731,2.91,0.62,4.28,147.38903,0.09017,0.004227966499884824
spec-0267-51608-0409,0.06144949,11.033,10.15345593179988,0.27208128358811684,0.175877698808229,174.8049506828824,147.70915583,1.14821561,1.187,5.57,0.37,3.09,147.70916,1.14822,0.021795322168934983
spec-0268-51633-0306,0.08461425,10.486,10.154424239829249,-0.16942143904248488,-0.530948657848112,124.76945688715658,148.8420565,-0.07235162,1.59,4.25,0.47,3.43,148.84206,-0.07235,0.013884234618769442
spec-0268-51633-0497,0.09200749,10.639,10.016034934821796,0.3448386164134603,-0.124951831251921,133.75457325479516,149.55991315,0.14035072,1.713,2.86,0.32,4.27,149.55991,0.14035,0.011632424124051919
spec-0269-51910-0003,0.04389971,10.624,9.971581184551058,0.31012773745184463,0.179484199257035,134.9342718528386,151.51741745,-0.81423996,0.865,4.28,0.15,5.61,151.51742,-0.81424,0.009180202382212165
spec-0269-51910-0224,0.06687512,11.011,10.144880954120962,0.17791713072218962,0.0642892355244658,145.30315861298632,150.89337083,0.07600803,1.282,5.9,0.73,2.85,150.89337,0.07601,0.00769575159874549
spec-0269-51910-0468,0.06195069,10.289,10.145782203258216,-0.2046381654822662,0.32153660239058,91.74838832010145,151.24895273,0.60810094,1.195,3.63,0.7,4.28,151.24895,0.6081,0.010393755837510645
spec-0269-51910-0499,0.02125578,10.631,10.137783228280522,0.23223373637924588,0.0882684451222663,161.06145755678605,151.46111047,0.63180392,0.43,3.61,0.28,3.33,151.46111,0.6318,0.014213059475589167
spec-0269-51910-0553,0.09711574,10.891,10.168303255025924,0.26772239215192634,0.353515788424041,180.7478322986146,151.6938519,0.2901255,1.797,4.83,0.47,5.06,151.69385,0.29013,0.017584777497414068
spec-0269-51910-0600,0.09845418,10.547,10.157426818048485,0.13371779536394232,-0.148698137579216,126.72788479187967,151.83972423,0.63554357,1.819,2.54,0.71,2.15,151.83972,0.63554,0.019925796268087874
spec-0270-51909-0010,0.04153075,10.121,9.936612802849293,0.08409425412332742,0.24258021109551,93.96743482880696,153.62339892,-0.80719329,0.821,2.54,0.32,4.86,153.6234,-0.80719,0.012465708145522237
spec-0270-51909-0027,0.04497541,10.134,10.120169521264767,0.19006755449246693,0.168607444278215,96.01184545772419,153.66557364,-0.7248689,0.885,2.25,0.49,3.59,153.66557,-0.72487,0.013688277233889868
spec-0270-51909-0369,0.09550718,10.462,10.06836770748413,-0.14831375929696053,-0.405020838829224,148.62856870717886,152.15598978,0.99027929,1.77,3.68,0.32,6.0,152.15599,0.99028,0.0026758573499131946
spec-0270-51909-0550,0.09497028,10.788,10.131459079924536,0.2141112233180528,0.297474641207436,153.06681007702062,153.55540572,0.27978776,1.762,4.82,0.2,6.2,153.55541,0.27979,0.01739048297897116
spec-0271-51883-0182,0.06464192,10.306,10.152747630612371,-0.022992118826491038,-0.0872598379229947,93.2358560248143,154.40644543,-0.20171046,1.243,4.3,0.29,6.94,154.40645,-0.20171,0.0165350321314733
spec-0272-51941-0204,0.08627163,10.612,10.16337414225602,0.09283911884467973,-0.00874596064975901,127.4383973217804,155.76186715,-0.98486185,1.616,4.9,0.18,7.4,155.76187,-0.98486,0.012230784909958464
spec-0272-51941-0346,0.09711239,11.194,10.127651133865756,0.2945498069561269,0.113587112863394,207.30653371125373,154.76247114,0.46303632,1.797,5.55,0.16,3.87,154.76247,0.46304,0.01386907420924735
