aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,lim_sup,ng,_RA,_DE,Separation,Kq,Kn,Mdyn
spec-0267-51608-0319,0.09311803,10.554,9.688992865057394,0.1045349858911474,-0.111114462796412,119.02922640085552,147.38902908,0.09017073,1.731,2.91,0.62,0.0,4.28,147.38903,0.09017,0.0042279664998848,0.8216932330693044,5.754793439999999,10.656380316415301
spec-0269-51910-0600,0.09845418,10.547,10.157426818048483,0.1337177953639423,-0.148698137579216,126.72788479187967,151.83972423,0.63554357,1.819,2.54,0.71,0.0,2.15,151.83972,0.63554,0.0199257962680878,0.8027356868192035,7.19475225,10.738607158292377
spec-0275-51910-0103,0.06747919,10.859,9.85840460462342,0.2735024541014101,0.0820630983798745,145.7546067701769,162.21441949,-0.47905972,1.293,4.96,0.31,0.0,8.0,162.21442,-0.47906,0.0020944507156512,0.9756052935221179,3.7643999999999993,10.954136824619427
spec-0286-51999-0402,0.0778308,10.673,9.86737297002655,0.2906694343471202,0.119046618785789,123.25931065205911,181.13178983,1.12971131,1.473,3.12,0.47,0.0,3.15,181.13179,1.12971,0.0047555288305549,0.8729178863405056,6.49148225,10.79555198450377
spec-0287-52023-0386,0.09549232,10.71,9.992488669492626,-0.0494422713404639,0.104882759136755,120.00312071903708,182.18676276,0.20598805,1.822,3.24,0.32,0.0,6.56,182.18678,0.20596,0.1185278478797097,0.9669974820474221,4.45574976,10.669716881219003
spec-0297-51959-0157,0.09796132,10.518,10.113691719123148,0.0871705880423725,0.321976563868609,108.0476024020912,202.04553449,0.12386008,1.81,3.5,0.64,0.0,2.25,202.04553,0.12386,0.0161665276806841,0.8168856351754018,7.1222562499999995,10.742517822042345
spec-0312-51689-0513,0.05804222,10.954,9.977428464666495,-0.0775061232820379,0.0230814472859797,137.77854500202852,229.33629578,0.23721915,1.125,5.48,0.46,0.0,5.23,229.3363,0.23722,0.0154969838308881,0.8775527169786937,5.1830748899999985,11.041445100953204
spec-0329-52056-0053,0.0768394,10.534,9.99491347491893,-0.0380118107561154,-0.314740694548628,118.51364527035504,177.3068674,-3.63777462,1.455,2.94,0.6,0.0,5.38,177.30687,-3.63777,0.0190756476917902,0.8268941874213698,5.09678004,10.6070705288185
spec-0338-51694-0449,0.08139554,10.684,10.029811705369744,-0.0265748916591191,-0.266314380480861,120.93114637149723,194.53755373,-1.61195481,1.535,3.4,0.33,0.0,4.79,194.53755,-1.61195,0.0219091843586782,0.9587450189793348,5.442462809999999,10.780494502442421
spec-0338-51694-0563,0.08372389,10.584,10.062531353392384,-0.02944531920168,-0.215530152216779,123.77853248563218,194.86348284,-1.43067318,1.574,2.87,0.33,0.0,5.96,194.86348,-1.43067,0.0153467168154975,0.9587450189793348,4.77331056,10.670136022531054
spec-0378-52146-0504,0.09083009,10.287,9.975233064532262,-0.0048887897090109,-0.0144940211192461,103.3163573865414,341.57950541,0.70404374,1.693,2.23,0.49,0.0,7.93,341.5795,0.70404,0.023675654366309,0.8641911456966372,3.79569609,10.258984934739264
spec-0406-51876-0154,0.09758585,10.441,10.098593322185726,-0.0247370194977305,0.0128434994649056,110.88110046408056,35.79611114,-0.45085744,1.804,2.46,0.84,0.0,1.87,35.79611,-0.45086,0.010088430457142,0.7847808647358104,7.4003052899999995,10.61108885875351
spec-0432-51884-0600,0.07006959,10.359,10.056833050031203,-0.1332581243540842,0.0449825800243225,105.42548376196028,116.5129749,40.1179463,1.338,2.29,0.75,0.0,2.77,116.51297,40.11795,0.0189576674403027,0.7962225610272257,6.753046889999999,10.502701586929403
spec-0447-51877-0635,0.08838283,10.698,9.932308977462128,0.2120796262386333,0.0045937037425429,128.1178689972453,134.36657407,52.18627939,1.652,3.61,0.74,0.0,4.43,134.36657,52.18628,0.009247608111868,0.7977573226358899,5.66163009,10.793979559775288
spec-0448-51900-0361,0.08408604,10.532,10.009240290610007,-0.1362392741014471,-0.392223070062715,106.08281003640218,132.7883781,57.32528164,1.58,2.57,0.36,0.0,4.8,132.78838,57.32528,0.0069637114571753,0.9359655037331305,5.436464,10.534240167996204
