aid,ra,dec,log_M,Rhlr,e,ng,z,sigma_e
spec-0266-51630-0177,146.165601142076,-0.0641431119018213,10.523,1.61,0.46,6.02,0.0632066,211.41762247596563
spec-0267-51608-0125,147.927875985207,-0.956982502229085,10.637,1.91,0.03,2.23,0.09202483,210.19022462086713
spec-0268-51633-0098,149.667680146049,-0.770641388447921,10.684,2.31,0.63,5.01,0.08532126,238.523649900917
spec-0268-51633-0369,148.936581101638,0.860802328987421,10.337,1.02,0.41,5.11,0.0465229,195.9984560820112
spec-0268-51633-0509,150.017000238163,0.495856500537868,10.75,2.08,0.59,4.33,0.09149828,222.77684595306985
spec-0268-51633-0625,150.42182589139,0.624832351242567,10.24,1.08,0.54,7.92,0.06608251,215.96385202729016
spec-0269-51910-0214,150.533961295167,-0.789381423378474,10.7,2.04,0.66,2.92,0.09419206,247.71438780958866
spec-0269-51910-0271,150.738309228238,0.110461642564092,10.425,1.4,0.4,5.45,0.09307487,199.04287673547697
spec-0270-51909-0042,153.379287757753,-0.946913548121108,10.308,0.95,0.31,2.96,0.04499136,171.0719017916617
spec-0270-51909-0113,153.452021636059,-0.10520204904681,10.559,2.25,0.6,4.37,0.0915454,207.4791975930228
spec-0270-51909-0618,153.731909253801,0.671970104190547,10.621,1.93,0.56,4.22,0.09661758,232.53260734721923
spec-0271-51883-0175,154.44689385029,-0.0545218729837939,10.291,0.61,0.56,4.19,0.06452124,239.80962684017072
spec-0271-51883-0265,154.002658423186,-0.112700987831629,10.743,2.18,0.71,4.04,0.05991426,244.03242751704667
spec-0274-51913-0252,159.406895311189,-0.674303785160012,10.606,2.13,0.39,5.28,0.09774555,213.6771203027123
spec-0275-51910-0610,162.410288555627,1.10486063526026,10.713,2.27,0.7,3.64,0.09704216,228.62200418041508
spec-0276-51909-0436,162.525717889481,0.333248799031144,10.56,1.37,0.46,5.0,0.04032925,226.72765393973785
spec-0277-51908-0382,164.812086451726,0.528522952194196,10.503,1.27,0.66,4.92,0.08447896,227.5556257091061
spec-0279-51984-0225,168.630805055332,-0.57434673300539,10.317,2.05,0.32,6.29,0.04776745,171.9940798625691
spec-0279-51984-0516,169.342616254385,0.0212702552260309,10.862,3.51,0.65,5.88,0.09964518,240.13767278330465
spec-0279-51984-0595,170.037079300727,0.22358570766223,10.305,0.9,0.43,4.69,0.07258304,252.64695183133762
spec-0280-51612-0145,170.895978287046,-0.0901425069686865,10.259,1.14,0.73,2.71,0.04832833,171.1795538646244
spec-0280-51612-0441,170.652749639134,1.13356264664508,10.281,1.38,0.52,4.36,0.07331392,182.26589652582746
spec-0283-51959-0453,175.828303997326,0.747881740538141,10.604,1.86,0.45,3.98,0.07569534,209.36175661526661
spec-0284-51943-0559,178.879311012362,0.428935826446808,10.643,2.5,0.47,5.68,0.06066807,218.0189310594716
spec-0285-51930-0140,179.654723056726,-0.787792137225404,10.334,1.26,0.75,2.39,0.08062554,178.27608416125656
spec-0286-51999-0432,181.191612871712,0.612214610985231,10.5,2.22,0.7,2.91,0.08704844,199.399076961316
spec-0290-51941-0245,188.438747889563,-0.696331647458819,10.433,1.4,0.56,4.52,0.079855,199.89919243754312
spec-0291-51928-0156,191.28753006922,-0.21302112740129,10.611,1.75,0.66,3.46,0.04821055,229.4062840949765
spec-0291-51928-0439,190.547189942505,0.534994862573811,10.511,1.45,0.46,3.33,0.08823928,200.8008241057023
spec-0291-51928-0571,191.301581978594,0.797274986854132,10.369,2.06,0.15,8.0,0.08009145,190.95619818988104
spec-0292-51609-0393,191.745712027863,0.148594809307698,10.41,2.13,0.1,7.95,0.09143047,184.30291905248012
spec-0294-51986-0253,195.994726086497,-0.750706691744081,10.759,3.06,0.4,6.1,0.08491749,245.0244069500553
spec-0295-51985-0410,198.109292721556,0.984386412881886,10.74,2.4,0.25,5.08,0.07298487,273.5585833487363
spec-0295-51985-0486,198.589397674047,0.324438719460638,10.526,1.26,0.41,3.86,0.0817907,217.1083561916017
spec-0295-51985-0634,199.080964913965,0.83752476895688,10.657,1.95,0.73,2.4,0.07978579,230.12285440345804
