aid,ra,dec,log_M,Rhlr,e,ng,z,sigma_e
spec-0296-51984-0230,199.693964132575,-0.757549849529011,10.606,1.79,0.62,5.05,0.08697884,206.60696692135883
spec-0296-51984-0233,199.775666757732,-0.752690296231801,10.345,0.89,0.6,3.31,0.08408105,219.059248619895
spec-0296-51984-0422,199.901663555211,0.181678751636027,10.421,1.37,0.58,3.97,0.05369467,194.92477344416073
spec-0297-51959-0198,201.554555133835,-0.180351121244318,10.492,1.27,0.2,7.99,0.07998345,256.0147231340633
spec-0297-51959-0467,201.61936879764,0.240675715983931,10.503,2.07,0.2,7.91,0.08448351,214.81331889104985
spec-0299-51671-0590,206.472902514983,0.411127510388157,10.46,0.93,0.1,5.21,0.08906469,200.89068307058514
spec-0302-51688-0099,212.095439514555,-0.746181108458074,10.346,2.04,0.34,7.98,0.07928953,223.1996435056972
spec-0302-51688-0176,212.006606587214,-0.225604351730019,10.165,1.26,0.25,5.63,0.05328913,159.95009418462377
spec-0302-51688-0623,213.063209319953,0.0538507611474738,10.107,1.49,0.3,6.03,0.05391951,158.63931840811532
spec-0302-51688-0636,212.977553655234,0.497815559492924,10.211,1.53,0.17,7.98,0.05439847,177.77738599038653
spec-0303-51615-0075,214.409027526817,-0.48220834083836,10.68,3.0,0.39,7.99,0.08258954,261.8644025119078
spec-0303-51615-0278,213.229064319243,-0.437106671327315,10.362,1.6,0.33,4.27,0.08333153,187.39990201264033
spec-0303-51615-0552,214.509058591385,0.484231223262378,10.591,1.46,0.56,3.17,0.05278205,215.8357523044156
spec-0304-51609-0090,215.49596625329,-0.59034196644354,10.478,1.76,0.49,7.96,0.05100724,212.8848063205594
spec-0305-51613-0506,216.437104406732,0.835925754924136,10.558,1.36,0.4,6.14,0.0844623,210.94268598656998
spec-0306-51637-0072,218.950148915195,-0.165529910679457,10.551,1.75,0.31,3.86,0.09269177,217.42093290921034
spec-0307-51663-0385,218.992198653161,0.401041702007434,10.09,2.25,0.0,7.06,0.05706688,156.92890183787935
spec-0310-51990-0071,227.057885812335,-0.193898874016964,10.599,2.02,0.73,5.68,0.09051643,216.55242477099384
spec-0310-51990-0074,227.103376032237,-0.276582988366066,10.492,1.44,0.55,3.21,0.09076992,205.1428396662248
spec-0310-51990-0390,225.182124533832,0.490181571523571,10.621,1.68,0.51,4.3,0.04208763,212.79898912228657
spec-0311-51665-0186,227.725121692493,-0.151277419182367,10.775,2.7,0.58,6.04,0.09227359,236.61672650648748
spec-0311-51665-0605,228.297273936058,0.944550499806351,10.579,2.23,0.7,6.49,0.09329423,198.18940066109423
spec-0313-51673-0026,232.313165759471,-0.269942992555776,10.641,2.29,0.15,4.95,0.08427101,207.41872669104572
spec-0313-51673-0153,231.863010532552,-0.0982700400789658,10.057,0.88,0.46,4.36,0.04460059,160.56838476613655
spec-0313-51673-0414,231.021495520153,0.825857359995905,10.42,1.71,0.42,7.52,0.08228496,201.3417019987831
spec-0315-51663-0557,235.33580937369,0.311821350880162,10.429,1.43,0.62,2.2,0.07964799,199.83772462666983
spec-0315-51663-0581,235.562870655565,0.787996154988444,10.209,0.95,0.49,2.32,0.0635557,183.13786939436233
spec-0328-52282-0505,176.048974467791,-1.86565973715634,10.443,2.43,0.23,7.78,0.04762832,219.25672469655098
spec-0328-52282-0507,176.046291851436,-1.96173521143988,10.406,0.94,0.5,5.92,0.07367941,195.80048439657298
spec-0329-52056-0140,176.957649085639,-3.18969515179951,10.324,1.51,0.45,2.83,0.0707938,179.47706896372443
spec-0330-52370-0600,179.293886586999,-2.37209519575418,10.606,1.72,0.67,3.6,0.07974511,206.3398968595934
spec-0332-52367-0535,182.840513953182,-1.48360076425088,10.364,1.56,0.5,2.57,0.0812453,176.5477028088121
spec-0333-52313-0428,184.141449336226,-2.16380505640235,10.583,2.18,0.34,6.91,0.08856412,225.84496697128907
spec-0334-51993-0057,187.618898354539,-3.58157261680824,10.247,1.04,0.7,3.31,0.07121044,165.44303097396565
spec-0334-51993-0240,186.402855722232,-2.90054194916049,10.567,1.91,0.46,4.46,0.02497949,198.4476962040132
spec-0336-51999-0580,191.861903988404,-1.53436176859911,10.716,1.79,0.39,4.24,0.08759213,252.85158866544933
spec-0337-51997-0365,192.399633531905,-1.43670063346151,10.489,1.84,0.57,5.41,0.08103285,192.9197495956634
spec-0337-51997-0366,192.485428895272,-1.41367675998784,10.449,2.06,0.61,6.23,0.08842289,236.0140281370988
spec-0337-51997-0415,192.57617896926,-1.56248570949029,10.474,1.14,0.58,4.48,0.08050782,266.99818769575586
spec-0337-51997-0417,192.539127050602,-1.52751674147642,10.545,1.59,0.34,5.45,0.08372385,207.79225457289033
spec-0337-51997-0450,192.785369617274,-1.44995020689491,10.752,2.21,0.43,4.23,0.04821774,236.93387738613453
spec-0338-51694-0459,194.606571919505,-1.61933882861367,10.436,1.79,0.04,7.11,0.0829585,198.41861354641608
spec-0338-51694-0464,194.553990755111,-2.01075327283354,10.448,1.5,0.38,3.61,0.08649816,188.66547578665768
spec-0338-51694-0468,194.537416672502,-1.93948760900266,10.827,2.16,0.26,6.84,0.08484954,240.49910485111184
spec-0338-51694-0495,194.689905852096,-1.81856137471083,10.585,1.57,0.26,4.7,0.08578072,202.11724304251769
spec-0339-51692-0192,196.018094589276,-2.76029677934145,10.576,1.55,0.62,3.96,0.06443235,245.77210396025424
spec-0339-51692-0276,195.675713036659,-3.21050025054359,10.432,0.76,0.56,5.54,0.08495803,203.14431363746974
spec-0339-51692-0422,195.693856179185,-2.48403668508699,10.524,1.35,0.5,2.55,0.08589594,191.43003729076275
spec-0339-51692-0594,197.681019703246,-2.70261971770627,10.581,1.82,0.73,4.38,0.07612113,204.56605955241278
spec-0339-51692-0603,197.309479891775,-1.60993200159741,10.515,1.18,0.14,4.79,0.08259552,236.8139403534877
spec-0339-51692-0609,197.318634728947,-1.57608617737497,10.454,1.43,0.47,2.3,0.08181681,184.4709448592168
spec-0340-51990-0389,197.364249306899,-1.54758316690632,10.53,1.53,0.64,3.61,0.08405636,218.86910517668557
spec-0340-51990-0390,197.441741327113,-1.715189411485,10.378,1.4,0.3,5.67,0.08382835,187.63370929877476
spec-0341-51690-0133,200.595236291135,-3.17857704957113,10.828,2.16,0.74,5.76,0.08679923,229.22720894760857
spec-0341-51690-0542,200.740012168501,-1.64495732609224,10.464,2.02,0.43,5.96,0.08599044,184.79807483651032
spec-0350-51691-0090,258.259650256623,63.735787493968,10.382,1.91,0.47,3.33,0.07805946,176.41317483191074
spec-0350-51691-0092,258.569141518291,64.0102590768584,10.508,1.55,0.21,2.55,0.07865872,242.25674054699678
spec-0350-51691-0251,257.893121765096,64.1411380090878,10.452,0.99,0.34,4.86,0.08084181,238.66012704930137
spec-0351-51695-0578,256.68202195025,62.6843412242085,10.773,2.31,0.42,5.21,0.0772469,234.8573705144277
spec-0355-51788-0290,257.521700765493,56.6962520217737,10.609,1.88,0.41,4.99,0.08387049,221.2297526315212
spec-0359-51821-0368,260.495751107828,54.7117106805029,10.481,1.33,0.56,2.77,0.05182534,229.01921173556767
spec-0362-51999-0296,262.804339718,53.4344201494072,10.592,1.73,0.56,3.2,0.05167442,199.1207326904054
spec-0363-51989-0174,232.980654715767,-0.285363530684447,10.523,1.69,0.51,4.96,0.08583865,197.0982472461611
spec-0363-51989-0279,232.549229623115,-0.300408089363169,10.566,2.38,0.33,6.56,0.08663638,224.96528909118166
spec-0363-51989-0494,233.019263708785,0.0218631848436065,10.693,1.95,0.65,3.34,0.05977607,253.7470101322732
spec-0367-51997-0234,259.874629422185,55.4329830000066,11.07,3.01,0.33,5.1,0.07246289,337.1614271707929
spec-0371-52078-0283,327.196451572806,-1.17104996122103,10.808,2.48,0.4,5.36,0.0594183,230.52377861578626
spec-0371-52078-0335,326.87561694054,0.791015909655857,10.533,1.44,0.56,3.2,0.07452229,216.17816958172753
spec-0374-51791-0118,334.133767323021,-0.277716052926468,10.694,1.83,0.68,2.49,0.09506655,260.17400673574247
spec-0374-51791-0182,333.358808904393,-0.191621918274324,10.565,1.71,0.47,4.06,0.09048728,203.71463488033714
spec-0374-51791-0405,333.587931564889,0.892401194348942,10.558,1.59,0.37,7.87,0.09022401,201.47538240678824
spec-0376-52143-0078,338.078403325496,-0.405895269451343,10.855,2.89,0.5,7.96,0.08772293,328.0575689331195
spec-0376-52143-0471,337.291347163394,0.122922422855471,10.355,1.03,0.6,4.6,0.05763945,229.75613511105738
spec-0378-52146-0611,342.34949611441,0.835202537750139,10.367,0.91,0.48,3.62,0.04882229,227.3846086634003
spec-0379-51789-0562,343.809051744567,1.21412789618478,10.464,2.92,0.38,7.96,0.07109137,189.3507670797857
spec-0380-51792-0509,345.454304230238,0.592024916229588,10.531,1.68,0.32,3.88,0.04201333,193.3553806890308
spec-0382-51816-0366,348.947463957113,1.12618416834363,10.077,0.49,0.46,4.94,0.05522059,155.10236915794655
spec-0383-51818-0381,350.600461993377,0.514299960825344,10.431,1.26,0.45,2.98,0.06842115,198.11473558051154
spec-0384-51821-0577,353.86684619295,1.04673473024997,11.091,3.23,0.45,5.18,0.08393247,314.14180977446256
spec-0385-51783-0354,354.015162980581,0.580265882239128,10.682,1.89,0.61,3.94,0.08744142,216.62739305311993
spec-0387-51791-0465,359.93516561743,0.731165554349513,10.393,1.59,0.53,5.22,0.08039642,183.5156758839989
spec-0387-51791-0552,0.602736891412547,0.535152929410401,10.403,1.02,0.34,7.97,0.0796163,351.0785201509967
spec-0389-51795-0062,4.53457227863976,-0.376466581562898,10.296,1.31,0.51,3.41,0.03917692,178.71904325381664
spec-0390-51900-0586,6.30748621161928,0.407670308222262,10.182,0.85,0.68,2.67,0.07166046,161.1272336408272
spec-0392-51793-0086,9.29212335490886,-1.10551801692785,10.413,1.67,0.25,7.99,0.07338227,185.04896561301032
spec-0394-51913-0040,14.0673356990136,-0.580621510184516,10.725,1.9,0.73,2.47,0.09703932,261.72498138028266
spec-0395-51783-0177,14.5424482887691,-0.62608055328064,10.224,0.84,0.29,6.33,0.04452216,219.5685580254646
spec-0398-51789-0076,20.1578100735312,-0.106788690549197,10.418,1.4,0.14,6.03,0.0773474,197.17987504381202
spec-0398-51789-0448,19.7808494379975,1.01974021850526,10.611,2.12,0.56,3.8,0.08027731,213.3063288410569
spec-0399-51817-0171,21.1993012330887,-0.478629377992415,10.713,2.35,0.49,2.65,0.07698428,217.7788201381027
spec-0399-51817-0427,20.8205475770473,0.295546904224158,10.791,2.56,0.27,7.97,0.09381878,297.3792569000977
spec-0402-51793-0221,26.9647622879826,-0.288462123157847,10.424,1.06,0.73,3.45,0.07921222,220.34436382355813
spec-0403-51871-0054,30.412516252429,-1.21612340377213,10.103,0.55,0.04,3.81,0.04204996,161.63011518882843
spec-0403-51871-0403,29.1363758009766,1.12244051145487,10.545,1.54,0.69,3.69,0.07512253,208.54541579195688
spec-0404-51812-0067,31.9900333407846,-0.699794734387941,10.353,1.27,0.69,3.6,0.07000168,187.40390046345325
spec-0404-51812-0287,30.5518784246279,-1.00810574220996,10.1,1.49,0.39,7.12,0.04179531,172.31196373823227
spec-0404-51812-0312,30.1915223807997,-0.147368545068733,10.504,1.9,0.58,4.39,0.08153094,191.65502992293648
spec-0407-51820-0132,37.6528079634384,-0.823699539186829,10.5,1.55,0.65,5.19,0.0382392,209.99290674536797
spec-0407-51820-0343,36.6110643838558,0.770857261184788,10.238,1.5,0.22,7.94,0.0733884,168.09121072379392
spec-0407-51820-0609,38.4651649644848,1.1371570245072,10.554,1.91,0.28,3.69,0.02229504,195.78409605035804
spec-0409-51871-0427,41.6857403586921,0.369518758225989,10.501,1.53,0.66,4.14,0.04389229,193.63153766906035
spec-0411-51817-0041,46.5493410876507,-1.18318329403172,10.543,1.7,0.5,4.75,0.03906859,220.46898436699274
spec-0412-52258-0514,47.9851511018118,-0.0325819233948679,10.023,0.86,0.43,5.15,0.03763117,159.81553605219497
spec-0415-51810-0134,53.2385690751485,-0.704139770528173,10.486,1.77,0.14,5.52,0.0331856,193.2872790930593
spec-0418-51817-0199,9.28344949852431,14.5302196979429,10.464,2.23,0.46,5.54,0.03841839,192.72630401545476
spec-0418-51817-0630,10.7696090687406,15.2410938587801,10.456,1.62,0.54,2.4,0.07760888,221.91766325951272
spec-0419-51879-0439,10.7384449359291,15.2859045912909,10.471,1.57,0.61,3.05,0.07847088,189.69383252094028
spec-0422-51811-0139,17.4095018420181,13.9191963290488,10.74,2.61,0.36,3.29,0.05905534,241.57897854066016
spec-0422-51811-0166,17.1403843636868,14.440473612687,10.808,2.19,0.67,4.15,0.06065357,227.46779248875328
spec-0426-51882-0200,24.5469175127982,13.9220299024321,10.691,1.55,0.57,5.21,0.07268868,264.1683889076842
spec-0428-51883-0211,32.2929725585225,12.4888680450793,10.188,0.73,0.06,7.97,0.060723,246.84439818414307
spec-0430-51877-0325,27.5670007576625,14.7709620505717,10.447,0.97,0.27,2.89,0.06655195,196.90081439918188
spec-0432-51884-0170,115.239768356778,39.734824814428,10.368,1.07,0.58,3.23,0.07200022,187.62886508035632
spec-0432-51884-0470,115.702564391831,40.3323352575525,10.545,2.24,0.53,5.98,0.0681124,204.45155021941702
spec-0435-51882-0509,119.136498190184,40.9343660353276,10.691,2.68,0.51,5.51,0.07482351,233.7284899263012
spec-0435-51882-0538,118.912771373144,41.2309157638117,10.466,1.99,0.14,6.18,0.07116088,185.2051983305339
spec-0437-51876-0144,120.601661972784,42.2525489507339,10.349,1.14,0.64,3.83,0.06687709,183.51583486776417
spec-0439-51877-0040,124.086704565462,44.8764297406507,10.293,0.76,0.62,6.07,0.05659731,212.227356168589
spec-0439-51877-0165,122.4497204331,44.4938206673952,10.567,1.24,0.59,4.77,0.0833552,257.47765695186774
spec-0441-51868-0111,124.942541420867,45.5445067215932,10.254,0.97,0.42,3.9,0.05138757,201.9433854570614
spec-0442-51882-0108,126.946912255362,50.674796376829,10.276,1.52,0.61,4.91,0.07361884,169.96069908771764
spec-0442-51882-0146,126.107172732579,50.4871872788559,10.284,1.09,0.29,3.74,0.07169995,186.36664285420602
spec-0443-51873-0598,128.119170978338,49.6722661889906,10.307,1.01,0.6,2.52,0.05151215,206.52460565690146
spec-0443-51873-0633,128.335351783367,49.6591840529093,10.217,0.64,0.13,2.79,0.05316161,176.6000149987211
spec-0444-51883-0147,128.702976987555,52.5237967399202,10.704,1.83,0.26,3.57,0.04408879,220.33383668778225
spec-0444-51883-0626,130.252407540577,53.0229525120158,10.697,2.14,0.48,4.77,0.04680038,260.0239191027258
spec-0445-51873-0567,130.984483739437,51.4655722581268,10.794,2.35,0.49,2.92,0.09806902,250.52976047246523
spec-0445-51873-0581,131.143996538476,51.1422194139214,10.573,1.83,0.56,3.1,0.0974091,216.54506240416336
spec-0445-51873-0622,131.437095094959,51.0616325670511,10.261,1.35,0.55,3.08,0.07433217,174.16553858909188
spec-0446-51899-0071,132.103649222932,53.9187236589351,10.439,1.34,0.26,4.22,0.04273668,213.05890585062932
spec-0447-51877-0460,132.180965294305,52.7290817050733,10.503,1.42,0.49,7.97,0.08679495,258.64950953449517
spec-0448-51900-0180,133.259497642024,55.5926028513674,10.183,0.69,0.51,3.16,0.03030265,205.28597806492942
spec-0448-51900-0411,132.975138769734,57.0708890951468,10.476,1.39,0.4,4.73,0.08906284,190.41518909861958
spec-0448-51900-0518,133.823361861322,56.1333652571736,10.665,1.69,0.56,4.94,0.08744816,229.45054449496882
spec-0449-51900-0193,134.026790254677,53.3008423292012,10.466,1.4,0.59,2.92,0.08600901,186.81885630331104
spec-0450-51908-0367,136.12696660123,56.2222796068774,10.405,1.53,0.53,4.98,0.08183832,193.05087595084117
spec-0452-51911-0333,142.107197222861,58.8682348220747,10.661,1.84,0.21,7.47,0.09716186,236.87196225608267
spec-0453-51915-0343,144.097514241886,59.4158380191619,10.521,1.47,0.67,4.21,0.09616384,207.5235965149344
spec-0457-51901-0570,44.2573099127738,-6.53305754053358,10.815,3.28,0.25,7.62,0.0862686,239.20120564953848
spec-0459-51924-0211,47.9216140278048,-8.31480429017424,10.167,1.47,0.24,7.06,0.06968353,162.62268685544242
spec-0467-51901-0071,132.76327411665,0.66896974194934,10.627,2.14,0.36,4.17,0.08624901,210.70656759653457
spec-0467-51901-0272,130.655412650237,0.811154273075824,10.63,2.06,0.3,5.25,0.09643786,221.50903160752208
spec-0467-51901-0458,131.653002525637,1.81095965171423,10.445,1.29,0.54,4.34,0.05232973,191.52357119780808
spec-0468-51912-0262,132.371907172704,0.437131872516206,10.843,2.19,0.62,4.94,0.09921695,270.65657298190047
spec-0471-51924-0095,137.02438960755,0.573339582277289,10.667,1.87,0.69,4.32,0.05369878,209.0374904748264
spec-0472-51955-0078,139.52456317319,0.193221582770989,10.68,1.65,0.26,4.98,0.09098859,246.3997014930842
spec-0472-51955-0082,139.041186391321,-0.688823073057891,10.53,1.95,0.46,4.64,0.05201171,211.12758766674938
spec-0475-51965-0039,143.401532778338,1.2752994168667,10.52,1.7,0.6,2.16,0.08819866,204.96165603944053
spec-0475-51965-0084,142.77578778146,0.456263249494187,10.634,1.97,0.52,4.09,0.07228389,218.8454542357823
spec-0476-52314-0257,143.30330909221,-0.662504625896787,10.088,0.78,0.57,4.54,0.04803053,176.5726973753487
spec-0477-52026-0194,144.50452627446,1.67335572304716,10.265,1.19,0.29,7.11,0.07668866,181.76922796348484
spec-0480-51989-0344,145.619680309532,2.10171239825584,10.04,0.58,0.17,7.46,0.0641013,166.8205750043283
spec-0481-51908-0040,149.43038812443,1.7545876650246,10.193,1.94,0.32,8.0,0.03167216,202.5016200981897
spec-0481-51908-0149,148.409823765461,1.63916681561199,10.539,1.5,0.34,4.24,0.09879934,248.46345941273555
spec-0481-51908-0296,147.451566441635,1.07833716588791,10.529,2.65,0.26,7.63,0.0985582,192.9368534721103
spec-0483-51924-0548,135.347885296443,58.2670655991223,10.738,1.64,0.59,5.16,0.0948898,280.7864158093385
spec-0485-51909-0432,140.340673808849,60.3343247982173,10.603,1.4,0.24,8.0,0.05781955,258.9370340110903
spec-0486-51910-0250,144.244768249574,60.4733932511189,10.689,2.04,0.34,7.91,0.0985366,242.67486227569728
spec-0487-51943-0182,148.413586819308,62.8798978158878,10.392,1.06,0.62,5.63,0.06673117,198.48386664624354
spec-0490-51929-0028,167.849094095702,65.8601548780872,10.113,1.3,0.5,4.53,0.06565191,152.59839480038585
spec-0491-51942-0468,170.63860548386,67.3537393154756,10.486,1.54,0.49,4.11,0.05454722,195.50189779668926
spec-0493-51957-0533,183.040515234481,68.2376756293764,10.593,1.53,0.35,4.71,0.06139274,242.52705992934085
spec-0496-51988-0187,199.551273709111,66.4531378354131,10.187,0.74,0.35,3.06,0.06604797,193.69721587833783
spec-0496-51988-0459,200.074813495467,67.3568516650272,10.773,1.9,0.51,4.42,0.09857894,237.83891185566858
spec-0503-51999-0452,154.876078298726,2.80232989225328,10.195,1.15,0.23,3.87,0.04619312,176.64655048901278
spec-0503-51999-0550,155.568092995378,2.33691290077158,10.263,0.74,0.59,3.33,0.07335065,221.49968229790926
spec-0504-52316-0536,157.198411669338,3.13458531282937,10.524,3.14,0.22,7.76,0.07408082,195.38209887717446
spec-0505-52317-0501,159.451319466677,2.64267015019476,10.529,2.82,0.4,7.16,0.07787945,193.57787936756353
spec-0506-52022-0400,160.114137587373,2.26430537263224,10.385,1.61,0.66,2.76,0.08166806,176.5896929719348
spec-0508-52366-0417,165.138002595231,3.01490353426433,10.246,,0.37,7.98,0.053576,216.04860862426736
spec-0509-52374-0164,167.307076667823,2.10517385417203,10.128,1.09,0.64,3.25,0.06574912,159.33052704655935
spec-0509-52374-0427,166.950091130973,2.77083553924109,10.39,1.07,0.52,4.66,0.05773874,203.37906333962297
spec-0509-52374-0493,167.32215297694,2.43795544146319,10.254,0.7,0.46,3.66,0.0643985,216.03489501757403
spec-0510-52381-0175,168.5141998397,2.41757829442356,10.648,1.4,0.17,4.67,0.07982262,223.13167772081815
spec-0510-52381-0199,168.487915862687,2.40211845114376,10.375,1.22,0.29,4.34,0.07608543,215.198677175537
spec-0510-52381-0408,168.748204548774,3.5871012049841,10.455,0.99,0.57,4.2,0.02966021,262.5693014853764
spec-0510-52381-0475,168.481844293453,2.47650595353513,10.576,1.81,0.59,3.65,0.07475983,220.83968316212534
spec-0511-52636-0133,170.637992122663,1.12559593421263,10.778,1.9,0.08,4.15,0.07474677,233.6864998933576
spec-0511-52636-0481,170.340322054423,2.96128386501518,10.472,1.43,0.09,5.42,0.04800332,228.28882138765437
spec-0514-51994-0168,176.280295146973,2.23516014677697,10.622,1.56,0.58,5.27,0.08927026,214.70624033976682
spec-0515-52051-0420,178.139822298416,3.47612876292233,10.44,1.25,0.69,1.79,0.08255307,238.93755754585342
spec-0518-52282-0406,184.278096637759,3.58999965433109,10.537,1.71,0.68,4.59,0.07639409,251.98719616272396
spec-0518-52282-0449,184.362613022788,3.6941117688058,10.579,1.5,0.38,5.77,0.07840803,224.0645338554996
spec-0518-52282-0450,184.379866093656,3.66424023897491,10.388,0.84,0.52,3.58,0.07823912,244.68916977543745
spec-0518-52282-0452,184.323397516661,3.68787880717923,10.406,1.3,0.61,3.39,0.08001015,189.86683665451503
spec-0518-52282-0566,184.579146604411,3.59842811588304,10.639,1.93,0.4,4.66,0.07800902,229.9057864513809
spec-0518-52282-0568,184.446535168419,3.66430714977038,10.385,0.94,0.49,3.88,0.07633731,215.0982063753961
spec-0518-52282-0577,184.484761944823,3.61370847441747,10.463,1.74,0.71,3.23,0.07501289,186.32849919115628
spec-0519-52283-0193,185.664432778322,2.21310155166473,10.384,2.01,0.7,7.64,0.09127671,176.34604250209995
spec-0521-52326-0025,191.33395612774,1.81089855831358,10.22,1.27,0.45,3.76,0.04711691,162.39250161858624
spec-0521-52326-0207,189.785892745712,1.5278216855107,10.68,2.26,0.21,4.26,0.0874832,214.97782617012612
spec-0521-52326-0264,189.081772935779,1.86284638875213,10.558,1.51,0.61,2.81,0.07509001,211.36237468360184
spec-0521-52326-0303,188.69569783525,2.12499626995995,10.343,1.65,0.61,4.22,0.08014645,191.8455781874852
spec-0521-52326-0440,189.694615385881,2.85862182637657,10.373,0.65,0.62,2.71,0.0737734,257.7755247179216
spec-0522-52024-0221,191.319965744172,1.74288474904018,10.178,1.02,0.53,3.21,0.04757042,161.79005831125025
spec-0522-52024-0375,191.191095447956,3.21868258302998,10.711,2.1,0.53,4.17,0.08488638,230.3874076528844
spec-0523-52026-0538,194.315474979318,3.30546752310274,10.736,2.25,0.74,4.33,0.07170247,229.09075899231001
spec-0524-52027-0163,196.185931165611,1.95417601676833,10.042,0.99,0.45,6.83,0.04770138,150.536334934092
spec-0524-52027-0361,195.681596899929,3.27685028118476,10.724,1.84,0.2,2.55,0.0700973,238.11894777965068
spec-0528-52022-0306,202.874960650298,2.30406443206782,10.505,1.17,0.4,5.42,0.07915866,203.4745721866209
spec-0529-52025-0118,205.732909805668,2.4651387380029,10.313,2.05,0.57,5.88,0.07158014,171.06432005619172
spec-0529-52025-0218,205.432949646555,0.893119041350467,10.402,1.25,0.5,2.96,0.0867533,185.3057883075327
spec-0529-52025-0228,205.306059562824,2.12179240804595,10.227,1.46,0.35,6.8,0.07633629,203.44508993588116
spec-0530-52026-0510,207.897033436393,2.53704402562348,10.492,1.84,0.49,7.94,0.09268919,196.7940296938008
spec-0531-52028-0122,209.965582144798,1.2919971265216,10.337,1.45,0.27,6.95,0.08086684,177.06366048424337
spec-0531-52028-0451,209.768647083494,2.89255257806242,10.456,1.05,0.53,3.68,0.07807557,228.26030433998463
spec-0533-51994-0109,214.253892603531,1.66315483142171,10.994,2.83,0.69,4.37,0.05530299,277.30196567533346
