Amostra,Mcor
spec-0266-51630-0177.fits.cxt_1comp.out,10.675411227348528
spec-0267-51608-0125.fits.cxt_1comp.out,10.668712627530487
spec-0268-51633-0098.fits.cxt_1comp.out,10.930972173728863
spec-0268-51633-0369.fits.cxt_1comp.out,10.482615305065655
spec-0268-51633-0509.fits.cxt_1comp.out,10.971581876504116
spec-0268-51633-0625.fits.cxt_1comp.out,10.543717501088128
spec-0269-51910-0214.fits.cxt_1comp.out,10.855982052479792
spec-0269-51910-0271.fits.cxt_1comp.out,10.614907129731593
spec-0270-51909-0042.fits.cxt_1comp.out,10.470475584143363
spec-0270-51909-0113.fits.cxt_1comp.out,10.789339307593178
spec-0270-51909-0618.fits.cxt_1comp.out,10.902250031695006
spec-0271-51883-0175.fits.cxt_1comp.out,10.534260746593734
spec-0271-51883-0265.fits.cxt_1comp.out,10.89075564894143
spec-0274-51913-0252.fits.cxt_1comp.out,10.859415403905954
spec-0275-51910-0610.fits.cxt_1comp.out,10.909072120120605
spec-0276-51909-0436.fits.cxt_1comp.out,10.72572582529664
spec-0277-51908-0382.fits.cxt_1comp.out,10.72743547017405
spec-0279-51984-0225.fits.cxt_1comp.out,10.610708350762376
spec-0279-51984-0516.fits.cxt_1comp.out,11.096170065041768
spec-0279-51984-0595.fits.cxt_1comp.out,10.621215231530073
spec-0280-51612-0145.fits.cxt_1comp.out,10.53860692885808
spec-0280-51612-0441.fits.cxt_1comp.out,10.569941296805814
spec-0283-51959-0453.fits.cxt_1comp.out,10.821382555649198
spec-0284-51943-0559.fits.cxt_1comp.out,10.848611772794927
spec-0285-51930-0140.fits.cxt_1comp.out,10.537961299706756
spec-0286-51999-0432.fits.cxt_1comp.out,10.791307051679766
spec-0290-51941-0245.fits.cxt_1comp.out,10.66118541593508
spec-0291-51928-0156.fits.cxt_1comp.out,10.771708642799746
spec-0291-51928-0439.fits.cxt_1comp.out,10.79113991177622
spec-0291-51928-0571.fits.cxt_1comp.out,10.744303956128567
spec-0292-51609-0393.fits.cxt_1comp.out,10.771975736055637
spec-0294-51986-0253.fits.cxt_1comp.out,10.970568491253134
spec-0295-51985-0410.fits.cxt_1comp.out,10.965693858022933
spec-0295-51985-0486.fits.cxt_1comp.out,10.835116688818777
spec-0295-51985-0634.fits.cxt_1comp.out,10.921157813952197
spec-0296-51984-0230.fits.cxt_1comp.out,10.788846244022027
spec-0296-51984-0233.fits.cxt_1comp.out,10.652813043002899
spec-0296-51984-0422.fits.cxt_1comp.out,10.691896249528872
spec-0297-51959-0198.fits.cxt_1comp.out,10.711912070298267
spec-0297-51959-0467.fits.cxt_1comp.out,10.801914265456237
spec-0299-51671-0590.fits.cxt_1comp.out,10.716161696955764
spec-0302-51688-0099.fits.cxt_1comp.out,10.628073410752988
spec-0302-51688-0176.fits.cxt_1comp.out,10.473342375126567
spec-0302-51688-0623.fits.cxt_1comp.out,10.39791945573551
spec-0302-51688-0636.fits.cxt_1comp.out,10.490035163387606
spec-0303-51615-0075.fits.cxt_1comp.out,10.90819409208305
spec-0303-51615-0552.fits.cxt_1comp.out,11.096782311280613
spec-0304-51609-0090.fits.cxt_1comp.out,10.508796170653701
spec-0305-51613-0506.fits.cxt_1comp.out,10.44541549629117
spec-0306-51637-0072.fits.cxt_1comp.out,10.724643488163712
spec-0307-51663-0385.fits.cxt_1comp.out,10.778682106998584
spec-0310-51990-0071.fits.cxt_1comp.out,10.502276426357735
spec-0310-51990-0074.fits.cxt_1comp.out,10.775720955721031
spec-0310-51990-0390.fits.cxt_1comp.out,11.236451391268396
spec-0311-51665-0186.fits.cxt_1comp.out,10.42774431473664
spec-0311-51665-0605.fits.cxt_1comp.out,10.86088134174633
spec-0313-51673-0026.fits.cxt_1comp.out,10.843277073915248
spec-0313-51673-0153.fits.cxt_1comp.out,10.945520360747839
spec-0313-51673-0414.fits.cxt_1comp.out,10.177707210827924
spec-0315-51663-0557.fits.cxt_1comp.out,10.716553512903968
spec-0315-51663-0581.fits.cxt_1comp.out,10.718620030493666
spec-0328-52282-0505.fits.cxt_1comp.out,10.78082020919607
spec-0328-52282-0507.fits.cxt_1comp.out,10.337116011494862
spec-0329-52056-0140.fits.cxt_1comp.out,10.576672648230552
spec-0330-52370-0600.fits.cxt_1comp.out,10.738563535007964
spec-0332-52367-0535.fits.cxt_1comp.out,10.667903819136743
spec-0333-52313-0428.fits.cxt_1comp.out,10.75023750492161
spec-0334-51993-0057.fits.cxt_1comp.out,10.834243872752426
spec-0334-51993-0240.fits.cxt_1comp.out,11.264600163965598
spec-0336-51999-0580.fits.cxt_1comp.out,10.102033225193649
spec-0337-51997-0365.fits.cxt_1comp.out,10.859893297713938
spec-0337-51997-0366.fits.cxt_1comp.out,10.639601088981241
spec-0337-51997-0415.fits.cxt_1comp.out,10.837987916346943
spec-0337-51997-0417.fits.cxt_1comp.out,10.665986316751207
spec-0337-51997-0450.fits.cxt_1comp.out,11.27801689740785
spec-0338-51694-0459.fits.cxt_1comp.out,10.308557733350895
spec-0338-51694-0464.fits.cxt_1comp.out,10.696681115773806
spec-0338-51694-0468.fits.cxt_1comp.out,10.925749639401642
spec-0338-51694-0495.fits.cxt_1comp.out,10.806779307756374
spec-0339-51692-0192.fits.cxt_1comp.out,11.026177015810601
spec-0339-51692-0276.fits.cxt_1comp.out,10.535033175298201
spec-0339-51692-0422.fits.cxt_1comp.out,10.64625346226195
spec-0339-51692-0594.fits.cxt_1comp.out,10.974077555785165
spec-0339-51692-0603.fits.cxt_1comp.out,10.71750720259482
spec-0339-51692-0609.fits.cxt_1comp.out,10.708603304642693
spec-0340-51990-0389.fits.cxt_1comp.out,10.760655332539828
spec-0340-51990-0390.fits.cxt_1comp.out,10.67486043275363
spec-0341-51690-0133.fits.cxt_1comp.out,10.98314785502097
spec-0341-51690-0542.fits.cxt_1comp.out,10.771241134537838
spec-0350-51691-0090.fits.cxt_1comp.out,10.664710199261489
spec-0350-51691-0092.fits.cxt_1comp.out,10.583279924773132
spec-0350-51691-0251.fits.cxt_1comp.out,10.767635283904035
spec-0351-51695-0578.fits.cxt_1comp.out,10.893916195412004
spec-0355-51788-0290.fits.cxt_1comp.out,10.738552750274492
spec-0359-51821-0368.fits.cxt_1comp.out,10.977190831890976
spec-0362-51999-0296.fits.cxt_1comp.out,10.661891258393604
spec-0363-51989-0174.fits.cxt_1comp.out,10.485224713410808
spec-0363-51989-0279.fits.cxt_1comp.out,10.71110084954591
spec-0363-51989-0494.fits.cxt_1comp.out,11.124520921770815
spec-0367-51997-0234.fits.cxt_1comp.out,10.971463364614948
spec-0371-52078-0283.fits.cxt_1comp.out,11.159293731475103
spec-0371-52078-0335.fits.cxt_1comp.out,10.793614373521189
spec-0374-51791-0118.fits.cxt_1comp.out,10.604966533060725
spec-0374-51791-0182.fits.cxt_1comp.out,10.876686172700836
spec-0374-51791-0405.fits.cxt_1comp.out,10.916274031295293
spec-0376-52143-0078.fits.cxt_1comp.out,10.922769985716117
spec-0376-52143-0471.fits.cxt_1comp.out,11.067197256212292
spec-0378-52146-0611.fits.cxt_1comp.out,10.691222548010728
spec-0379-51789-0562.fits.cxt_1comp.out,10.298259426432494
spec-0380-51792-0509.fits.cxt_1comp.out,10.989855331921001
spec-0382-51816-0366.fits.cxt_1comp.out,10.320611258542145
spec-0383-51818-0381.fits.cxt_1comp.out,10.38192775819824
spec-0384-51821-0577.fits.cxt_1comp.out,10.848575477497777
spec-0385-51783-0354.fits.cxt_1comp.out,10.9669625041535
spec-0387-51791-0465.fits.cxt_1comp.out,10.753574722623492
spec-0387-51791-0552.fits.cxt_1comp.out,10.677551894113414
spec-0389-51795-0062.fits.cxt_1comp.out,11.010840339019646
spec-0390-51900-0586.fits.cxt_1comp.out,10.162329357523289
spec-0392-51793-0086.fits.cxt_1comp.out,10.640117008863937
spec-0394-51913-0040.fits.cxt_1comp.out,10.70148570162298
spec-0395-51783-0177.fits.cxt_1comp.out,11.163164008390625
spec-0398-51789-0076.fits.cxt_1comp.out,10.181926024982502
spec-0398-51789-0448.fits.cxt_1comp.out,10.713042455457643
spec-0399-51817-0171.fits.cxt_1comp.out,10.733201707164927
spec-0399-51817-0427.fits.cxt_1comp.out,10.871169782403193
spec-0402-51793-0221.fits.cxt_1comp.out,10.992980678958773
spec-0403-51871-0054.fits.cxt_1comp.out,10.901675039468303
spec-0403-51871-0403.fits.cxt_1comp.out,10.250284233705655
