Amostra,Mcor,M_Salim,Erro_Salim
spec-0266-51630-0177.fits.cxt_1comp.out,10.675411227348528,10.523,-0.1524112273485283
spec-0267-51608-0125.fits.cxt_1comp.out,10.668712627530487,10.637,-0.03171262753048687
spec-0268-51633-0098.fits.cxt_1comp.out,10.930972173728865,10.684,-0.24697217372886549
spec-0268-51633-0369.fits.cxt_1comp.out,10.482615305065655,10.337,-0.14561530506565568
spec-0268-51633-0509.fits.cxt_1comp.out,10.971581876504116,10.75,-0.22158187650411598
spec-0268-51633-0625.fits.cxt_1comp.out,10.543717501088128,10.24,-0.3037175010881281
spec-0269-51910-0214.fits.cxt_1comp.out,10.855982052479792,10.7,-0.1559820524797928
spec-0269-51910-0271.fits.cxt_1comp.out,10.614907129731591,10.425,-0.18990712973159063
spec-0270-51909-0042.fits.cxt_1comp.out,10.470475584143363,10.308,-0.1624755841433636
spec-0270-51909-0113.fits.cxt_1comp.out,10.789339307593178,10.559,-0.23033930759317833
spec-0270-51909-0618.fits.cxt_1comp.out,10.902250031695006,10.621,-0.28125003169500573
spec-0271-51883-0175.fits.cxt_1comp.out,10.534260746593734,10.291,-0.24326074659373376
spec-0271-51883-0265.fits.cxt_1comp.out,10.89075564894143,10.743,-0.14775564894143045
spec-0274-51913-0252.fits.cxt_1comp.out,10.859415403905954,10.606,-0.2534154039059544
spec-0275-51910-0610.fits.cxt_1comp.out,10.909072120120603,10.713,-0.19607212012060415
spec-0276-51909-0436.fits.cxt_1comp.out,10.72572582529664,10.56,-0.16572582529664004
spec-0277-51908-0382.fits.cxt_1comp.out,10.72743547017405,10.503,-0.22443547017405052
spec-0279-51984-0225.fits.cxt_1comp.out,10.610708350762376,10.317,-0.2937083507623761
spec-0279-51984-0516.fits.cxt_1comp.out,11.096170065041768,10.862,-0.23417006504176818
spec-0279-51984-0595.fits.cxt_1comp.out,10.621215231530073,10.305,-0.316215231530073
spec-0280-51612-0145.fits.cxt_1comp.out,10.53860692885808,10.259,-0.2796069288580796
spec-0280-51612-0441.fits.cxt_1comp.out,10.569941296805814,10.281,-0.28894129680581315
spec-0283-51959-0453.fits.cxt_1comp.out,10.821382555649198,10.604,-0.2173825556491984
spec-0284-51943-0559.fits.cxt_1comp.out,10.848611772794928,10.643,-0.20561177279492782
spec-0285-51930-0140.fits.cxt_1comp.out,10.537961299706756,10.334,-0.2039612997067568
spec-0286-51999-0432.fits.cxt_1comp.out,10.791307051679766,10.5,-0.291307051679766
spec-0290-51941-0245.fits.cxt_1comp.out,10.66118541593508,10.433,-0.22818541593508002
spec-0291-51928-0156.fits.cxt_1comp.out,10.771708642799746,10.611,-0.1607086427997455
spec-0291-51928-0439.fits.cxt_1comp.out,10.79113991177622,10.511,-0.2801399117762209
spec-0291-51928-0571.fits.cxt_1comp.out,10.744303956128569,10.369,-0.3753039561285689
spec-0292-51609-0393.fits.cxt_1comp.out,10.771975736055635,10.41,-0.36197573605563527
spec-0294-51986-0253.fits.cxt_1comp.out,10.970568491253134,10.759,-0.21156849125313393
spec-0295-51985-0410.fits.cxt_1comp.out,10.965693858022933,10.74,-0.2256938580229324
spec-0295-51985-0486.fits.cxt_1comp.out,10.835116688818776,10.526,-0.30911668881877574
spec-0295-51985-0634.fits.cxt_1comp.out,10.921157813952195,10.657,-0.2641578139521954
spec-0296-51984-0230.fits.cxt_1comp.out,10.788846244022029,10.606,-0.18284624402202887
spec-0296-51984-0233.fits.cxt_1comp.out,10.6528130430029,10.345,-0.30781304300290024
spec-0296-51984-0422.fits.cxt_1comp.out,10.691896249528872,10.421,-0.2708962495288727
spec-0297-51959-0198.fits.cxt_1comp.out,10.711912070298268,10.492,-0.21991207029826754
spec-0297-51959-0467.fits.cxt_1comp.out,10.801914265456237,10.503,-0.29891426545623645
spec-0299-51671-0590.fits.cxt_1comp.out,10.716161696955764,10.46,-0.25616169695576296
spec-0302-51688-0099.fits.cxt_1comp.out,10.628073410752988,10.346,-0.28207341075298764
spec-0302-51688-0176.fits.cxt_1comp.out,10.473342375126569,10.165,-0.3083423751265695
spec-0302-51688-0623.fits.cxt_1comp.out,10.39791945573551,10.107,-0.29091945573551037
spec-0302-51688-0636.fits.cxt_1comp.out,10.490035163387606,10.211,-0.27903516338760603
spec-0303-51615-0075.fits.cxt_1comp.out,10.90819409208305,10.68,-0.22819409208305075
spec-0303-51615-0552.fits.cxt_1comp.out,11.096782311280611,10.362,-0.7347823112806111
spec-0304-51609-0090.fits.cxt_1comp.out,10.5087961706537,10.591,0.08220382934629988
spec-0305-51613-0506.fits.cxt_1comp.out,10.44541549629117,10.478,0.03258450370882926
spec-0306-51637-0072.fits.cxt_1comp.out,10.724643488163712,10.558,-0.16664348816371266
spec-0307-51663-0385.fits.cxt_1comp.out,10.778682106998584,10.551,-0.22768210699858393
spec-0310-51990-0071.fits.cxt_1comp.out,10.502276426357737,10.09,-0.412276426357737
spec-0310-51990-0074.fits.cxt_1comp.out,10.775720955721033,10.599,-0.17672095572103252
spec-0310-51990-0390.fits.cxt_1comp.out,11.236451391268396,10.492,-0.7444513912683952
spec-0311-51665-0186.fits.cxt_1comp.out,10.42774431473664,10.621,0.19325568526335957
spec-0311-51665-0605.fits.cxt_1comp.out,10.86088134174633,10.775,-0.08588134174632955
spec-0313-51673-0026.fits.cxt_1comp.out,10.843277073915248,10.579,-0.26427707391524713
spec-0313-51673-0153.fits.cxt_1comp.out,10.94552036074784,10.641,-0.3045203607478406
spec-0313-51673-0414.fits.cxt_1comp.out,10.177707210827924,10.057,-0.12070721082792346
