Amostra,Mcor
266-51630-177,10.647005727064373
267-51608-125,10.639290014708545
268-51633-98,10.919293597920786
268-51633-369,10.480455785103409
268-51633-509,10.94703035511766
268-51633-625,10.52661947585357
269-51910-214,10.84123493721474
269-51910-271,10.606678539726872
270-51909-42,10.424708337371195
270-51909-113,10.773167833935615
270-51909-618,10.87369552826459
271-51883-175,10.509782792853864
271-51883-265,10.857972087802041
274-51913-252,10.850509620349541
275-51910-610,10.901376938391323
276-51909-436,10.694773103636111
277-51908-382,10.719396335568373
279-51984-225,10.592878321155155
279-51984-516,11.065384070598686
279-51984-595,10.607710486695607
280-51612-145,10.512218338610701
280-51612-441,10.54750975736374
283-51959-453,10.777590954394142
284-51943-559,10.827186597908069
285-51930-140,10.523849350636626
286-51999-432,10.745976823220795
290-51941-245,10.638949456583518
291-51928-156,10.736731597938443
291-51928-439,10.762320073360913
291-51928-571,10.716251628866756
292-51609-393,10.710301830768703
294-51986-253,10.932267541927729
295-51985-410,10.937453893870467
295-51985-486,10.800280158679314
295-51985-634,10.88271477439065
296-51984-230,10.767883861608677
296-51984-233,10.64284954053157
296-51984-422,10.656883413009563
297-51959-198,10.70864747663391
297-51959-467,10.74522285225939
299-51671-590,10.689318700493637
302-51688-99,10.602394262893274
302-51688-176,10.442157293652887
302-51688-623,10.402411167935705
302-51688-636,10.481305554639782
303-51615-75,10.885976078274574
303-51615-278,10.707188747254774
303-51615-552,10.68999370629964
304-51609-90,10.438920058517281
305-51613-506,10.832439196878724
306-51637-72,10.781238403550521
307-51663-385,10.378764023051087
310-51990-71,10.797813625535394
310-51990-74,10.707221785998945
310-51990-390,10.714429522363101
311-51665-186,11.026789658259183
311-51665-605,10.80351051960297
313-51673-26,10.816890513017245
313-51673-153,10.26749321420125
313-51673-414,10.692282143534241
315-51663-557,10.660288879893814
315-51663-581,10.479964188073593
328-52282-505,10.608950042796662
328-52282-507,10.603751623611505
329-52056-140,10.574007407743983
330-52370-600,10.802236843686032
332-52367-535,10.661222340839116
333-52313-428,10.795691567975997
334-51993-57,10.572207897220071
334-51993-240,10.611507756891527
336-51999-580,10.990538636108793
337-51997-365,10.668805326085273
337-51997-366,10.688712984335963
337-51997-415,10.734913601306433
337-51997-417,10.763271090010647
337-51997-450,10.829924966359663
338-51694-459,10.663504103098898
338-51694-464,10.676812261455812
338-51694-468,10.940885257354301
338-51694-495,10.748513832158007
339-51692-192,10.7665962046424
339-51692-276,10.65175510330141
339-51692-422,10.664794562656859
339-51692-594,10.886232415950296
339-51692-603,10.750954938185112
339-51692-609,10.651986791503885
340-51990-389,10.74184590871185
340-51990-390,10.655414875951513
341-51690-133,11.024537292984007
341-51690-542,10.71937227757039
350-51691-90,10.576734145222991
350-51691-92,10.558942842898507
350-51691-251,10.658838023530373
351-51695-578,10.928935659478958
355-51788-290,10.74758628973054
359-51821-368,10.561240455975959
362-51999-296,10.7111817194053
363-51989-174,10.800849952783265
363-51989-279,10.738847316476942
363-51989-494,10.788122381180596
367-51997-234,11.173909498072886
371-52078-283,10.970726012083038
371-52078-335,10.805007947752568
374-51791-118,10.822248258989895
374-51791-182,10.813400080415205
374-51791-405,10.863089984713268
376-52143-78,10.948692567019984
376-52143-471,10.575413554095167
378-52146-611,10.557627580422922
379-51789-562,10.659467834457656
380-51792-509,10.587764830539022
382-51816-366,10.329127031582352
383-51818-381,10.578462310613014
384-51821-577,11.100550996074142
385-51783-354,10.918453389013695
387-51791-465,10.625031802816926
387-51791-552,10.594954543498579
389-51795-62,10.477011768319112
390-51900-586,10.52455360988347
392-51793-86,10.683033703762849
394-51913-40,10.9183043275315
395-51783-177,10.446189804913063
398-51789-76,10.677798375750854
398-51789-448,10.743634325557277
399-51817-171,10.72160050509004
399-51817-427,10.989754874875151
402-51793-221,10.722040793779497
403-51871-54,10.33163697290164
403-51871-403,10.764779907286364
404-51812-67,10.618555097046851
404-51812-287,10.369842234633717
404-51812-312,10.774940889452475
407-51820-132,10.629905367424845
407-51820-343,10.514149730661693
407-51820-609,10.626312443937215
409-51871-427,10.61546907907117
411-51817-41,10.666975973870757
412-52258-514,10.21468088151947
415-51810-134,10.514458767998454
418-51817-199,10.528831457022012
418-51817-630,10.59429168068722
419-51879-439,10.67890791055444
422-51811-139,10.815118990129168
422-51811-166,10.922590835431405
426-51882-200,10.76123276671829
428-51883-211,10.421971244358776
430-51877-325,10.656482097911274
432-51884-170,10.519844908956362
432-51884-470,10.657867266990142
435-51882-509,10.919731878466138
435-51882-538,10.672958453701773
437-51876-144,10.616676922584913
439-51877-40,10.461086344399241
439-51877-165,10.76056269551659
441-51868-111,10.432616716144395
442-51882-108,10.48658017773759
442-51882-146,10.53754958768584
443-51873-598,10.518525335327183
443-51873-633,10.425062476566795
444-51883-147,10.774648379389058
444-51883-626,10.797977919543442
445-51873-567,10.856833736106497
445-51873-581,10.823147987139148
445-51873-622,10.510091773500797
446-51899-71,10.588110301023432
447-51877-460,10.798926438706632
