"lambda" "flux_orig" "err_orig" "flux_corr" "err_corr" "flux_norm" "err_norm" "flux_cont" "flux_cont_corr"
5645.4 0.000610966 1e-06 0.000610966 1e-06 0.888658012164981 0.00145451303700203 0.000687515322696008 0.000687515322696008
5645.1 0.000665918 1e-06 0.000665918 1e-06 0.968500914913468 0.00145438464632803 0.000687576015412951 0.000687576015412951
5645.2 0.00065792 1e-06 0.00065792 1e-06 0.956896905057545 0.00145442744567356 0.000687555782156526 0.000687555782156526
5645.3 0.000640066 1e-06 0.000640066 1e-06 0.930956950277674 0.0014544702425651 0.000687535551250881 0.000687535551250881
5645.4 0.000610966 1e-06 0.000610966 1e-06 0.888658012164981 0.00145451303700203 0.000687515322696008 0.000687515322696008
5645.5 0.000574465 1e-06 0.000574465 1e-06 0.835591414297133 0.00145455582898372 0.000687495096491887 0.000687495096491887
5645.6 0.000539078 1e-06 0.000539078 1e-06 0.784142114068831 0.00145459861850944 0.000687474872638559 0.000687474872638559
5645.7 0.000514626 1e-06 0.000514626 1e-06 0.748596287987261 0.00145464140557854 0.000687454651136017 0.000687454651136017
5645.8 0.000508062 1e-06 0.000508062 1e-06 0.739069759036535 0.00145468419019044 0.000687434431984227 0.000687434431984227
5645.9 0.000520555 1e-06 0.000520555 1e-06 0.75726539908873 0.00145472697234438 0.000687414215183237 0.000687414215183237
5646 0.000547393 1e-06 0.000547393 1e-06 0.796330778878323 0.0014547697520398 0.000687394000733005 0.000687394000733005
5646.1 0.000580731 1e-06 0.000580731 1e-06 0.844854734938977 0.00145481252927599 0.000687373788633552 0.000687373788633552
5646.2 0.000612712 1e-06 0.000612712 1e-06 0.891407303056477 0.00145485530405227 0.000687353578884893 0.000687353578884893
5646.3 0.0006371 1e-06 0.0006371 1e-06 0.926915564454083 0.00145489807636805 0.000687333371486999 0.000687333371486999
5646.4 0.000650453 1e-06 0.000650453 1e-06 0.946370638248038 0.00145494084622261 0.000687313166439892 0.000687313166439892
5646.5 0.000653522 1e-06 0.000653522 1e-06 0.950863801137137 0.00145498361361536 0.000687292963743549 0.000687292963743549
5646.6 0.000651002 1e-06 0.000651002 1e-06 0.947225082485963 0.00145502637854563 0.000687272763397972 0.000687272763397972
5646.7 0.000648037 1e-06 0.000648037 1e-06 0.942938640934454 0.00145506914101271 0.000687252565403189 0.000687252565403189
5646.8 0.000645787 1e-06 0.000645787 1e-06 0.939692349221422 0.001455111901016 0.000687232369759171 0.000687232369759171
5646.9 0.000640831 1e-06 0.000640831 1e-06 0.932508214996346 0.00145515465855482 0.000687212176465932 0.000687212176465932
5647 0.000630184 1e-06 0.000630184 1e-06 0.917042126910062 0.0014551974136285 0.000687191985523479 0.000687191985523479
5647.1 0.000616917 1e-06 0.000616917 1e-06 0.897762397634074 0.00145524016623642 0.000687171796931792 0.000687171796931792
5647.2 0.000609325 1e-06 0.000609325 1e-06 0.886740263021954 0.00145528291637788 0.000687151610690891 0.000687151610690891
5647.3 0.000613338 1e-06 0.000613338 1e-06 0.892606532138498 0.00145532566405228 0.000687131426800755 0.000687131426800755
5647.4 0.000626226 1e-06 0.000626226 1e-06 0.911389537456588 0.00145536840925894 0.000687111245261392 0.000687111245261392
5647.5 0.000638767 1e-06 0.000638767 1e-06 0.929668615327759 0.00145541115199714 0.000687091066072829 0.000687091066072829
5647.6 0.000643462 1e-06 0.000643462 1e-06 0.936529272425474 0.00145545389226632 0.000687070889235024 0.000687070889235024
5647.7 0.000640347 1e-06 0.000640347 1e-06 0.932022900572744 0.0014554966300658 0.000687050714747992 0.000687050714747992
5647.8 0.000635539 1e-06 0.000635539 1e-06 0.925052032743706 0.00145553936539489 0.000687030542611738 0.000687030542611738
5647.9 0.000634974 1e-06 0.000634974 1e-06 0.924256787256072 0.00145558209825296 0.000687010372826265 0.000687010372826265
5648 0.000639326 1e-06 0.000639326 1e-06 0.930618799194685 0.00145562482863936 0.000686990205391556 0.000686990205391556
5648.1 0.000644178 1e-06 0.000644178 1e-06 0.937709015245414 0.00145566755655333 0.000686970040307662 0.000686970040307662
5648.2 0.000644265 1e-06 0.000644265 1e-06 0.93786318482912 0.0014557102819944 0.000686949877574505 0.000686949877574505
5648.3 0.000637615 1e-06 0.000637615 1e-06 0.928209952258718 0.0014557530049618 0.000686929717192128 0.000686929717192128
5648.4 0.000626905 1e-06 0.000626905 1e-06 0.912645619266287 0.00145579572545487 0.000686909559160537 0.000686909559160537
5648.5 0.000617904 1e-06 0.000617904 1e-06 0.899568397575731 0.00145583844347299 0.000686889403479718 0.000686889403479718
5648.6 0.000615777 1e-06 0.000615777 1e-06 0.896498132455068 0.00145588115901547 0.000686869250149678 0.000686869250149678
5648.7 0.000621496 1e-06 0.000621496 1e-06 0.904850862803286 0.0014559238720817 0.000686849099170404 0.000686849099170404
5648.8 0.000631671 1e-06 0.000631671 1e-06 0.919691867242342 0.00145596658267095 0.000686828950541923 0.000686828950541923
5648.9 0.000641739 1e-06 0.000641739 1e-06 0.934377946257544 0.00145600929078261 0.000686808804264218 0.000686808804264218
5649 0.000648413 1e-06 0.000648413 1e-06 0.944123043152121 0.00145605199641605 0.000686788660337279 0.000686788660337279
5649.1 0.000649311 1e-06 0.000649311 1e-06 0.945458305472875 0.00145609469957058 0.000686768518761115 0.000686768518761115
5649.2 0.000642096 1e-06 0.000642096 1e-06 0.934980000148064 0.00145613740024555 0.00068674837953573 0.00068674837953573
5649.3 0.000625329 1e-06 0.000625329 1e-06 0.910591644777555 0.00145618009844027 0.000686728242661132 0.000686728242661132
5649.4 0.000600425 1e-06 0.000600425 1e-06 0.874352571180003 0.00145622279415415 0.000686708108137295 0.000686708108137295
5649.5 0.000572887 1e-06 0.000572887 1e-06 0.834275566272381 0.00145626548738648 0.000686687975964238 0.000686687975964238
5649.6 0.000550978 1e-06 0.000550978 1e-06 0.802393767373362 0.00145630817813663 0.00068666784614196 0.00068666784614196
5649.7 0.000541308 1e-06 0.000541308 1e-06 0.788334374791375 0.00145635086640392 0.000686647718670459 0.000686647718670459
5649.8 0.000544962 1e-06 0.000544962 1e-06 0.793679142987328 0.00145639355218773 0.000686627593549729 0.000686627593549729
5649.9 0.000558758 1e-06 0.000558758 1e-06 0.813795398068448 0.00145643623548736 0.000686607470779779 0.000686607470779779
5650 0.000579245 1e-06 0.000579245 1e-06 0.84365812987345 0.00145647891630217 0.000686587350360611 0.000686587350360611
5650.1 0.000603025 1e-06 0.000603025 1e-06 0.878318934602675 0.00145652159463152 0.000686567232292209 0.000686567232292209
5650.2 0.000624134 1e-06 0.000624134 1e-06 0.909091284388474 0.00145656427047473 0.000686547116574593 0.000686547116574593
5650.3 0.000635006 1e-06 0.000635006 1e-06 0.92495414897445 0.00145660694383116 0.000686527003207746 0.000686527003207746
5650.4 0.000631864 1e-06 0.000631864 1e-06 0.920404452142895 0.00145664961470015 0.000686506892191675 0.000686506892191675
5650.5 0.000618802 1e-06 0.000618802 1e-06 0.901404098155117 0.00145669228308105 0.000686486783526376 0.000686486783526376
5650.6 0.000606301 1e-06 0.000606301 1e-06 0.883219856297373 0.00145673494897316 0.000686466677211867 0.000686466677211867
5650.7 0.000604716 1e-06 0.000604716 1e-06 0.880936730645484 0.00145677761237587 0.000686446573248126 0.000686446573248126
5650.8 0.000617114 1e-06 0.000617114 1e-06 0.899024186130157 0.0014568202732885 0.000686426471635165 0.000686426471635165
5650.9 0.000637416 1e-06 0.000637416 1e-06 0.92862774247913 0.00145686293171042 0.00068640637237297 0.00068640637237297
5651 0.000655512 1e-06 0.000655512 1e-06 0.955019095565697 0.00145690558764095 0.000686386275461554 0.000686386275461554
5651.1 0.000664195 1e-06 0.000664195 1e-06 0.967697736983751 0.00145694824107943 0.00068636618090092 0.00068636618090092
5651.2 0.00066229 1e-06 0.00066229 1e-06 0.964950497879367 0.0014569908920252 0.000686346088691066 0.000686346088691066
5651.3 0.000653853 1e-06 0.000653853 1e-06 0.952685751541914 0.00145703354047762 0.00068632599883198 0.00068632599883198
5651.4 0.000645668 1e-06 0.000645668 1e-06 0.940787467143775 0.00145707618643602 0.000686305911323674 0.000686305911323674
5651.5 0.000643571 1e-06 0.000643571 1e-06 0.937759422477426 0.00145711882989977 0.000686285826166137 0.000686285826166137
5651.6 0.000648715 1e-06 0.000648715 1e-06 0.945282503574243 0.00145716147086817 0.000686265743359386 0.000686265743359386
5651.7 0.000657016 1e-06 0.000657016 1e-06 0.957406415102509 0.00145720410934058 0.000686245662903411 0.000686245662903411
5651.8 0.000662547 1e-06 0.000662547 1e-06 0.965494459369121 0.00145724674531636 0.000686225584798203 0.000686225584798203
5651.9 0.000661375 1e-06 0.000661375 1e-06 0.963814762900438 0.00145728937879484 0.000686205509043775 0.000686205509043775
5652 0.00065285 1e-06 0.00065285 1e-06 0.951419202581839 0.00145733200977535 0.000686185435640125 0.000686185435640125
5652.1 0.000639509 1e-06 0.000639509 1e-06 0.932004197537253 0.00145737463825725 0.000686165364587253 0.000686165364587253
5652.2 0.000626948 1e-06 0.000626948 1e-06 0.913724838980658 0.00145741726423987 0.000686145295885156 0.000686145295885156
5652.3 0.000621824 1e-06 0.000621824 1e-06 0.906283537223193 0.00145745988772256 0.000686125229533836 0.000686125229533836
5652.4 0.000627204 1e-06 0.000627204 1e-06 0.914151403469602 0.00145750250870467 0.00068610516553329 0.00068610516553329
5652.5 0.000639684 1e-06 0.000639684 1e-06 0.932368297138547 0.00145754512718553 0.000686085103883519 0.000686085103883519
5652.6 0.000652389 1e-06 0.000652389 1e-06 0.950914210175331 0.00145758774316448 0.000686065044584528 0.000686065044584528
5652.7 0.000660843 1e-06 0.000660843 1e-06 0.963264817773627 0.00145763035664088 0.00068604498763631 0.00068604498763631
5652.8 0.000665364 1e-06 0.000665364 1e-06 0.969883116423557 0.00145767296761405 0.000686024933038869 0.000686024933038869
5652.9 0.000668694 1e-06 0.000668694 1e-06 0.974765659433483 0.00145771557608335 0.000686004880792204 0.000686004880792204
5653 0.000672668 1e-06 0.000672668 1e-06 0.980587280801942 0.00145775818204812 0.000685984830896318 0.000685984830896318
5653.1 0.000677031 1e-06 0.000677031 1e-06 0.986976323613057 0.00145780078550769 0.000685964783351206 0.000685964783351206
5653.2 0.000680238 1e-06 0.000680238 1e-06 0.991680469519738 0.00145784338646141 0.000685944738156872 0.000685944738156872
5653.3 0.000680559 1e-06 0.000680559 1e-06 0.992177428003433 0.00145788598490863 0.000685924695313311 0.000685924695313311
5653.4 0.00067641 1e-06 0.00067641 1e-06 0.986157471371861 0.00145792858084869 0.000685904654820527 0.000685904654820527
5653.5 0.00066631 1e-06 0.00066631 1e-06 0.971460773135117 0.00145797117428092 0.000685884616678522 0.000685884616678522
5653.6 0.000649863 1e-06 0.000649863 1e-06 0.947509199497203 0.00145801376520467 0.000685864580887289 0.000685864580887289
5653.7 0.000630117 1e-06 0.000630117 1e-06 0.918746095373522 0.00145805635361928 0.000685844547446835 0.000685844547446835
5653.8 0.000614485 1e-06 0.000614485 1e-06 0.895979926853467 0.0014580989395241 0.000685824516357157 0.000685824516357157
5653.9 0.000610965 1e-06 0.000610965 1e-06 0.890873435549879 0.00145814152291846 0.000685804487618256 0.000685804487618256
5654 0.000621744 1e-06 0.000621744 1e-06 0.906617217434095 0.00145818410380172 0.00068578446123013 0.00068578446123013
5654.1 0.000641063 1e-06 0.000641063 1e-06 0.934815171554001 0.0014582266821732 0.000685764437192779 0.000685764437192779
5654.2 0.000659938 1e-06 0.000659938 1e-06 0.962367297607293 0.00145826925803226 0.000685744415506206 0.000685744415506206
5654.3 0.000672318 1e-06 0.000672318 1e-06 0.980449293848548 0.00145831183137823 0.000685724396170409 0.000685724396170409
5654.4 0.000676749 1e-06 0.000676749 1e-06 0.986939883341527 0.00145835440221046 0.000685704379185387 0.000685704379185387
5654.5 0.000673944 1e-06 0.000673944 1e-06 0.982877887905717 0.00145839697052829 0.000685684364551142 0.000685684364551142
5654.6 0.00066445 1e-06 0.00066445 1e-06 0.969060149915172 0.00145843953633106 0.000685664352267672 0.000685664352267672
5654.7 0.000648456 1e-06 0.000648456 1e-06 0.94576146838996 0.00145848209961811 0.000685644342334981 0.000685644342334981
5654.8 0.000626603 1e-06 0.000626603 1e-06 0.913915927773596 0.00145852466038879 0.000685624334753063 0.000685624334753063
5654.9 0.000600266 1e-06 0.000600266 1e-06 0.875528310065617 0.00145856721864243 0.000685604329521923 0.000685604329521923
