"lambda" "flux_orig" "err_orig" "flux_corr" "err_corr" "flux_norm" "err_norm" "flux_cont" "flux_cont_corr"
5717.4 0.000621362 1e-06 0.000621362 1e-06 0.923806684338989 0.00148674473871751 0.000672610417886944 0.000672610417886944
5716.1 0.000660726 1e-06 0.000660726 1e-06 0.981885771777954 0.00148607103667474 0.000672915342080563 0.000672915342080563
5716.2 0.000651322 1e-06 0.000651322 1e-06 0.967944527404366 0.00148612288146933 0.000672891866795901 0.000672891866795901
5716.3 0.00063935 1e-06 0.00063935 1e-06 0.950185808942031 0.00148617472267464 0.000672868394774148 0.000672868394774148
5716.4 0.000630843 1e-06 0.000630843 1e-06 0.937575621972736 0.00148622656028954 0.000672844926015306 0.000672844926015306
5716.5 0.000631088 1e-06 0.000631088 1e-06 0.937972459310145 0.00148627839431291 0.000672821460519373 0.000672821460519373
5716.6 0.000640339 1e-06 0.000640339 1e-06 0.951755209782095 0.0014863302247436 0.000672797998286352 0.000672797998286352
5716.7 0.000653555 1e-06 0.000653555 1e-06 0.971432421720695 0.0014863820515805 0.00067277453931624 0.00067277453931624
5716.8 0.000664292 1e-06 0.000664292 1e-06 0.98742613157357 0.00148643387482247 0.000672751083609039 0.000672751083609039
5716.9 0.000668514 1e-06 0.000668514 1e-06 0.993736497551837 0.00148648569446838 0.000672727631164747 0.000672727631164747
5717 0.000665468 1e-06 0.000665468 1e-06 0.989243144048798 0.00148653751051711 0.000672704181983366 0.000672704181983366
5717.1 0.000656756 1e-06 0.000656756 1e-06 0.976326457394851 0.00148658932296751 0.000672680736064895 0.000672680736064895
5717.2 0.000645282 1e-06 0.000645282 1e-06 0.959302762822084 0.00148664113181847 0.000672657293409335 0.000672657293409335
5717.3 0.000633592 1e-06 0.000633592 1e-06 0.941956751383323 0.00148669293706884 0.000672633854016684 0.000672633854016684
5717.4 0.000621362 1e-06 0.000621362 1e-06 0.923806684338989 0.00148674473871751 0.000672610417886944 0.000672610417886944
5717.5 0.000604846 1e-06 0.000604846 1e-06 0.899282938075157 0.00148679653676334 0.000672586985020114 0.000672586985020114
5717.6 0.000581174 1e-06 0.000581174 1e-06 0.864117592039847 0.00148684833120519 0.000672563555416194 0.000672563555416194
5717.7 0.000554664 1e-06 0.000554664 1e-06 0.824729969292275 0.00148690012204195 0.000672540129075185 0.000672540129075185
5717.8 0.000537148 1e-06 0.000537148 1e-06 0.79871324416189 0.00148695190927247 0.000672516705997085 0.000672516705997085
5717.9 0.00053925 1e-06 0.00053925 1e-06 0.801866741393971 0.00148700369289563 0.000672493286181896 0.000672493286181896
5718 0.000561093 1e-06 0.000561093 1e-06 0.834376416461661 0.0014870554729103 0.000672469869629617 0.000672469869629617
5718.1 0.000592655 1e-06 0.000592655 1e-06 0.881341546842988 0.00148710724931535 0.000672446456340248 0.000672446456340248
5718.2 0.000622211 1e-06 0.000622211 1e-06 0.92532670230586 0.00148715902210964 0.00067242304631379 0.00067242304631379
5718.3 0.000643148 1e-06 0.000643148 1e-06 0.956496645997896 0.00148721079129204 0.000672399639550241 0.000672399639550241
5718.4 0.000654604 1e-06 0.000654604 1e-06 0.973568018771722 0.00148726255686143 0.000672376236049603 0.000672376236049603
5718.5 0.00065886 1e-06 0.00065886 1e-06 0.979931912095555 0.00148731431881668 0.000672352835811875 0.000672352835811875
5718.6 0.000658767 1e-06 0.000658767 1e-06 0.979827688550249 0.00148736607715664 0.000672329438837058 0.000672329438837058
5718.7 0.000656156 1e-06 0.000656156 1e-06 0.975978134895182 0.0014874178318802 0.00067230604512515 0.00067230604512515
