lam,fluxo
7941.0,0.9785057593932888
7942.0,0.9806143144160933
7943.0,0.982814820679592
7944.0,0.985098564728587
7945.0,0.9874547864103068
7946.0,0.9898707879126698
7947.0,0.9923321504096736
7948.0,0.9948230613736564
7949.0,0.9973267443136239
7950.0,0.9998259691758574
7951.0,1.002303607626803
7952.0,1.0047431854668392
7953.0,1.0071293775018566
7954.0,1.0094483911487386
7955.0,1.0116881956518808
7956.0,1.0138385739498157
7957.0,1.0158910015038458
7958.0,1.0178383861157212
7959.0,1.0196747289032908
7960.0,1.0213947832473087
7961.0,1.022993791410049
7962.0,1.0244673662593402
7963.0,1.025811559982328
7964.0,1.0270231274943906
7965.0,1.0280999556936408
7966.0,1.029041597183955
7967.0,1.0298498238574438
7968.0,1.0305291051049756
7969.0,1.0310869185031823
7970.0,1.0315338166708927
7971.0,1.0318832001037128
7972.0,1.0321507786993465
7973.0,1.0323537404450502
7974.0,1.0325096804167833
7975.0,1.0326353732500995
7976.0,1.0327454946133612
7977.0,1.0328514097831656
7978.0,1.0329601489686229
7979.0,1.033073679325672
7980.0,1.033188563379192
7981.0,1.0332960644162
7982.0,1.0333827235985975
7983.0,1.033431393823255
7984.0,1.0334226747751818
7985.0,1.0333366553466077
7986.0,1.0331548367903118
7987.0,1.0328620856597588
7988.0,1.0324484524754802
7989.0,1.0319106923212433
7990.0,1.0312533385320604
7991.0,1.030489210387248
7992.0,1.029639278815344
7993.0,1.0287318673714583
7994.0,1.0278012243201404
7995.0,1.0268855594521695
7996.0,1.0260246896644676
7997.0,1.0252574741732923
7998.0,1.024619238842929
7999.0,1.0241393872090212
8000.0,1.0238393739842695
8001.0,1.0237311786935581
8002.0,1.0238163684915125
8003.0,1.024085787371702
8004.0,1.0245198610643085
8005.0,1.0250894687480887
8006.0,1.0257573076381337
8007.0,1.026479664908882
8008.0,1.0272085106919966
8009.0,1.0278938312440746
8010.0,1.028486126979145
8011.0,1.0289390004955412
8012.0,1.0292117514012644
8013.0,1.0292718769131337
8014.0,1.0290973524414835
8015.0,1.0286785403091088
8016.0,1.0280195551617584
8017.0,1.0271389099369455
8018.0,1.0260692837918994
8019.0,1.024856297635044
8020.0,1.023556254140166
8021.0,1.0222328927194058
8022.0,1.020953316491761
8023.0,1.019783354670769
8024.0,1.018782714947463
8025.0,1.018000341697177
8026.0,1.017470415369637
8027.0,1.0172093993948568
8028.0,1.0172144629348885
8029.0,1.0174634872777286
8030.0,1.0179167132473876
8031.0,1.0185199238617624
8032.0,1.0192088998945892
8033.0,1.0199147546680316
8034.0,1.0205696637980946
8035.0,1.0211124659806952
8036.0,1.0214936260599765
8037.0,1.021679118735087
8038.0,1.021652901569215
8039.0,1.0214177861864662
8040.0,1.0209946707729454
8041.0,1.0204202487297045
8042.0,1.019743442339635
8043.0,1.0190209142436522
8044.0,1.0183120749547598
