aid,ra,dec,log_M,Rhlr,e,ng,z,sigma_e,Kq,Kn,Mdyn,lim_sup
spec-0268-51633-0509,150.017000238163,0.495856500537868,10.75,2.08,0.59,4.33,0.09149828,222.77684595306985,0.8296525174182051,5.723618489999999,11.056811005275982,0.0
spec-0268-51633-0625,150.42182589139,0.624832351242567,10.24,1.08,0.54,7.92,0.06608251,215.96385202729016,0.8452074611443647,3.8001862399999995,10.575394744116096,0.0
spec-0270-51909-0618,153.731909253801,0.671970104190547,10.621,1.93,0.56,4.22,0.09661758,232.53260734721923,0.8386131011557931,5.79236244,11.071383058283473,0.0
spec-0271-51883-0175,154.44689385029,-0.0545218729837939,10.291,0.61,0.56,4.19,0.06452124,239.80962684017072,0.8386131011557931,5.811212009999999,10.599332079583665,0.0
spec-0277-51908-0382,164.812086451726,0.528522952194196,10.503,1.27,0.66,4.92,0.08447896,227.5556257091061,0.8124406952084483,5.36485424,10.823769125598956,0.0
spec-0279-51984-0516,169.342616254385,0.0212702552260309,10.862,3.51,0.65,5.88,0.09964518,240.13767278330465,0.8146196502770222,4.81696304,11.266396562514737,0.0
spec-0280-51612-0145,170.895978287046,-0.0901425069686865,10.259,1.14,0.73,2.71,0.04832833,171.1795538646244,0.7993527728767938,6.794982809999999,10.625176134967132,0.0
spec-0291-51928-0439,190.547189942505,0.534994862573811,10.511,1.45,0.46,3.33,0.08823928,200.8008241057023,0.8775527169786937,6.37001249,10.880753138098077,0.0
spec-0295-51985-0486,198.589397674047,0.324438719460638,10.526,1.26,0.41,3.86,0.0817907,217.1083561916017,0.9037741381612935,6.02142036,10.875923134879782,0.0
spec-0296-51984-0233,199.775666757732,-0.752690296231801,10.345,0.89,0.6,3.31,0.08408105,219.059248619895,0.8268941874213698,6.383432009999999,10.719458025290367,0.0
spec-0296-51984-0422,199.901663555211,0.181678751636027,10.421,1.37,0.58,3.97,0.05369467,194.92477344416076,0.8325219696942819,5.950767689999999,10.777863997880877,0.0
spec-0299-51671-0590,206.472902514983,0.411127510388157,10.46,0.93,0.1,5.21,0.08906469,200.89068307058517,1.2777761041980535,5.19466281,10.762855319035664,0.0
spec-0302-51688-0176,212.006606587214,-0.225604351730019,10.165,1.26,0.25,5.63,0.05328913,159.95009418462377,1.035709701476211,4.95536529,10.585093919276696,0.0
spec-0303-51615-0278,213.229064319243,-0.437106671327315,10.362,1.6,0.33,4.27,0.08333153,187.39990201264035,0.9587450189793348,5.76104289,10.85830358581707,0.0
spec-0305-51613-0506,216.437104406732,0.835925754924136,10.558,1.36,0.4,6.14,0.0844623,210.94268598657,0.9096926026564097,4.676220359999999,10.777098138473823,0.0
spec-0310-51990-0071,227.057885812335,-0.193898874016964,10.599,2.02,0.73,5.68,0.09051643,216.55242477099384,0.7993527728767938,4.92744384,10.938278295424901,0.0
spec-0310-51990-0074,227.103376032237,-0.276582988366066,10.492,1.44,0.55,3.21,0.09076992,205.1428396662248,0.8418447448145492,6.4508188099999995,10.883762721783539,0.0
spec-0311-51665-0186,227.725121692493,-0.151277419182367,10.775,2.7,0.58,6.04,0.09227359,236.61672650648748,0.8325219696942819,4.729966559999999,11.141149076245524,0.0
spec-0311-51665-0605,228.297273936058,0.944550499806351,10.579,2.23,0.7,6.49,0.09329423,198.18940066109425,0.8045283901955289,4.491904409999999,10.866878246562932,0.0
spec-0328-52282-0507,176.046291851436,-1.96173521143988,10.406,0.94,0.5,5.92,0.07367941,195.80048439657295,0.8600842766443919,4.79509824,10.538534550018623,0.0
spec-0330-52370-0600,179.293886586999,-2.37209519575418,10.606,1.72,0.67,3.6,0.07974511,206.3398968595934,0.8103453250771835,6.190735999999999,10.93154793542828,0.0
spec-0334-51993-0057,187.618898354539,-3.58157261680824,10.247,1.04,0.7,3.31,0.07121044,165.44303097396565,0.8045283901955289,6.383432009999999,10.531366561367362,0.0
spec-0337-51997-0417,192.539127050602,-1.52751674147642,10.545,1.59,0.34,5.45,0.08372385,207.79225457289036,0.9508320982325946,5.056880249999999,10.885082993554256,0.0
spec-0338-51694-0468,194.537416672502,-1.93948760900266,10.827,2.16,0.26,6.84,0.08484954,240.49910485111184,1.024588205031141,4.31349296,11.108499780311794,-0.3196476954433997
spec-0339-51692-0276,195.675713036659,-3.21050025054359,10.432,0.76,0.56,5.54,0.08495803,203.1443136374697,0.8386131011557931,5.005927559999999,10.485909791273109,0.0
spec-0339-51692-0594,197.681019703246,-2.70261971770627,10.581,1.82,0.73,4.38,0.07612113,204.5660595524128,0.7993527728767938,5.692564039999999,10.906225613241983,0.0
spec-0339-51692-0609,197.318634728947,-1.57608617737497,10.454,1.43,0.47,2.3,0.08181681,184.4709448592168,0.8729178863405056,7.086188999999999,10.845018760884136,0.0
spec-0340-51990-0390,197.441741327113,-1.715189411485,10.378,1.4,0.3,5.67,0.08382835,187.6337092987748,0.984585082448575,4.933018489999999,10.74555641379555,0.0
spec-0341-51690-0133,200.595236291135,-3.17857704957113,10.828,2.16,0.74,5.76,0.08679923,229.22720894760857,0.7977573226358899,4.883020159999999,11.011986055834567,0.0
spec-0341-51690-0542,200.740012168501,-1.64495732609224,10.464,2.02,0.43,5.96,0.08599044,184.79807483651032,0.8926404490652192,4.77331056,10.834683163483442,0.0
spec-0363-51989-0174,232.980654715767,-0.285363530684447,10.523,1.69,0.51,4.96,0.08583865,197.0982472461611,0.8561389940226636,5.341138559999999,10.843871006747541,0.0
spec-0371-52078-0283,327.196451572806,-1.17104996122103,10.808,2.48,0.4,5.36,0.0594183,230.52377861578623,0.9096926026564097,5.108223359999999,11.153488337225413,0.0
spec-0371-52078-0335,326.87561694054,0.791015909655857,10.533,1.44,0.56,3.2,0.07452229,216.17816958172756,0.8386131011557931,6.457583999999999,10.928058524744984,0.0
spec-0374-51791-0182,333.358808904393,-0.191621918274324,10.565,1.71,0.47,4.06,0.09048728,203.71463488033717,0.8729178863405056,5.89339476,10.928820150263627,0.0
spec-0374-51791-0405,333.587931564889,0.892401194348942,10.558,1.59,0.37,7.87,0.09022401,201.47538240678824,0.928983936520446,3.8227092899999997,10.726661233363584,0.0
spec-0378-52146-0611,342.34949611441,0.835202537750139,10.367,0.91,0.48,3.62,0.04882229,227.3846086634003,0.8684665799778243,6.177596039999999,10.76857679319006,0.0
spec-0382-51816-0366,348.947463957113,1.12618416834363,10.077,0.49,0.46,4.94,0.05522059,155.10236915794655,0.8775527169786937,5.3529867599999985,10.109742982747443,0.0
spec-0385-51783-0354,354.015162980581,0.580265882239128,10.682,1.89,0.61,3.94,0.08744142,216.62739305311996,0.8242425168127028,5.96997876,11.006357004870361,0.0
spec-0390-51900-0586,6.30748621161928,0.407670308222262,10.182,0.85,0.68,2.67,0.07166046,161.1272336408272,0.8083302385460109,6.82303649,10.451764001893185,0.0
spec-0392-51793-0086,9.29212335490886,-1.10551801692785,10.413,1.67,0.25,7.99,0.07338227,185.04896561301032,1.035709701476211,3.7688564099999997,10.71517808570563,0.0
spec-0402-51793-0221,26.9647622879826,-0.288462123157847,10.424,1.06,0.73,3.45,0.07921222,220.34436382355813,0.7993527728767938,6.289900249999999,10.779332656691455,0.0
spec-0404-51812-0067,31.9900333407846,-0.699794734387941,10.353,1.27,0.69,3.6,0.07000168,187.40390046345323,0.8063922713597157,6.190735999999999,10.714090268340925,0.0
spec-0407-51820-0343,36.6110643838558,0.770857261184788,10.238,1.5,0.22,7.94,0.0733884,168.09121072379392,1.0721232014342572,3.7912107599999993,10.602644547601907,0.0
spec-0430-51877-0325,27.5670007576625,14.7709620505717,10.447,0.97,0.27,2.89,0.06655195,196.90081439918188,1.013935990115002,6.669695609999999,10.771823967143431,0.0
spec-0437-51876-0144,120.601661972784,42.2525489507339,10.349,1.14,0.64,3.83,0.06687709,183.51583486776417,0.8168856351754018,6.04079049,10.643947626665396,0.0
spec-0439-51877-0040,124.086704565462,44.8764297406507,10.293,0.76,0.62,6.07,0.05659731,212.227356168589,0.8216932330693044,4.713792089999999,10.488937108806198,0.0
spec-0442-51882-0108,126.946912255362,50.674796376829,10.276,1.52,0.61,4.91,0.07361884,169.96069908771764,0.8242425168127028,5.370795209999999,10.655074866428027,0.0
spec-0447-51877-0460,132.180965294305,52.7290817050733,10.503,1.42,0.49,7.97,0.08679495,258.6495095344952,0.8641911456966372,3.7777836899999997,10.857999217485169,0.0
spec-0448-51900-0411,132.975138769734,57.0708890951468,10.476,1.39,0.4,4.73,0.08906284,190.4151890986196,0.9096926026564097,5.478556889999998,10.766419471028161,0.0
spec-0448-51900-0518,133.823361861322,56.1333652571736,10.665,1.69,0.56,4.94,0.08744816,229.4505444949688,0.8386131011557931,5.3529867599999985,10.967863357012297,0.0
spec-0449-51900-0193,134.026790254677,53.3008423292012,10.466,1.4,0.59,2.92,0.08600901,186.81885630331104,0.8296525174182051,6.648966239999999,10.79706047194902,-0.22523840478626792
spec-0453-51915-0343,144.097514241886,59.4158380191619,10.521,1.47,0.67,4.21,0.09616384,207.5235965149344,0.8103453250771835,5.798640809999999,10.839889299356726,0.0
spec-0457-51901-0570,44.2573099127738,-6.53305754053358,10.815,3.28,0.25,7.62,0.0862686,239.20120564953848,1.035709701476211,3.93713204,11.250259251712727,0.0
spec-0459-51924-0211,47.9216140278048,-8.31480429017424,10.167,1.47,0.24,7.06,0.06968353,162.62268685544242,1.047323184938283,4.20437076,10.599901979068,0.0
spec-0477-52026-0194,144.50452627446,1.67335572304716,10.265,1.19,0.29,7.11,0.07668866,181.76922796348484,0.993954349345031,4.179895609999999,10.579560215868065,0.0
spec-0480-51989-0344,145.619680309532,2.10171239825584,10.04,0.58,0.17,7.46,0.0641013,166.8205750043283,1.1445808046337596,4.01194356,10.236369149233274,0.0
spec-0481-51908-0296,147.451566441635,1.07833716588791,10.529,2.65,0.26,7.63,0.0985582,192.9368534721103,1.024588205031141,3.9324972899999997,10.965734696074584,0.0
spec-0487-51943-0182,148.413586819308,62.8798978158878,10.392,1.06,0.62,5.63,0.06673117,198.48386664624357,0.8216932330693044,4.95536529,10.59698232884823,0.0
spec-0496-51988-0187,199.551273709111,66.4531378354131,10.187,0.74,0.35,3.06,0.06604797,193.69721587833783,0.9432436911467813,6.552802759999999,10.600970136581795,0.0
spec-0509-52374-0493,167.32215297694,2.43795544146319,10.254,0.7,0.46,3.66,0.0643985,216.03489501757403,0.8775527169786937,6.151373959999999,10.612831852520943,-0.3288087125017022
spec-0514-51994-0168,176.280295146973,2.23516014677697,10.622,1.56,0.58,5.27,0.08927026,214.7062403397668,0.8325219696942819,5.159956889999999,10.856296364127648,0.0
spec-0518-52282-0452,184.323397516661,3.68787880717923,10.406,1.3,0.61,3.39,0.08001015,189.86683665451503,0.8242425168127028,6.329869609999999,10.754732013799662,0.0
spec-0518-52282-0577,184.484761944823,3.61370847441747,10.463,1.74,0.71,3.23,0.07501289,186.32849919115628,0.8027356868192035,6.43730289,10.86082498994608,0.0
spec-0519-52283-0193,185.664432778322,2.21310155166473,10.384,2.01,0.7,7.64,0.09127671,176.34604250209995,0.8045283901955289,3.9278673599999996,10.662066335931828,0.0
spec-0524-52027-0163,196.185931165611,1.95417601676833,10.042,0.99,0.45,6.83,0.04770138,150.536334934092,0.8823790877462955,4.318508489999999,10.298347510624282,0.0
